Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T_Cell
RK014_Cancer,0.025427545589418,0.027848643377484,0.587223239348516,0.043114022612312,0.038533793394038,0.132965637584095,0.144584500291661,0.000302617802477,0,0.767882693137632,0.992347838817998,,0.09180998236094
RK170_Liver,0.029307463674135,0.030174119355775,0.643835262238856,0.042315084966197,0.038622473148437,0.060062159979366,0.155624540938435,5.88956987986857E-05,0,0.861055471851097,0.990789319970648,,0.098104056178347
RK200_Cancer,0.02845928031076,0.033790448750698,0.58674651642767,0.042158288843063,0.044878606880513,0.075062830432345,0.188904028354951,0,0,0.678792644305014,0.993246252149762,,0.107128335941971
RK264_Cancer,0.040098065735356,0.037435799678855,0.65783855300186,0.046861108728287,0.047990351961244,0.066260865885163,0.10351430284896,9.52160273461769E-07,0,0.85120860340546,0.990771438503493,,0.125524217375456
RK067_Cancer,0.034579057244552,0.045389432727951,0.558129923917617,0.049818328023755,0.04429835652475,0.108330715841326,0.159454185720051,0,0,0.61003362634172,0.994179393739497,,0.124266846497252
RK066_Cancer,0.029258822945051,0.045562081643425,0.620180026635531,0.043345154785666,0.050440115534636,0.087763361089757,0.12339715330292,5.328406301395E-05,0,0.718078818499596,0.992561819386133,,0.125261020123113
RK028_Cancer,0.026890725880114,0.042973766403509,0.59729802100608,0.044430749260052,0.03965388914541,0.096536736831735,0.152077661082316,0.000138450390784,0,0.817016462944159,0.991798648663831,,0.109518381429033
RK130_Liver,0.035002837883512,0.03285479919853,0.642948372686544,0.044376779329878,0.041475259742628,0.06046317412618,0.142777190095933,0.000101586936794,0,0.909524072848641,0.990308999483848,,0.109332896824671
RK256_Cancer,0.02796816722917,0.030162935565466,0.665576793371617,0.041386899274101,0.041624594485241,0.065923774469203,0.127317623264955,3.92123402471296E-05,0,0.886839515115787,0.990254099762063,,0.099755697279877
RK064_Cancer,0.022578465039497,0.030857860301385,0.676121803935837,0.038283007142893,0.040696749895902,0.073473706960491,0.117986738269803,1.66845419249471E-06,0,0.850365730933559,0.990514357053259,,0.094133075236784
RK040_Cancer,0.025556249502668,0.036342859531921,0.628847460259196,0.040372627482366,0.03523353995688,0.10456620740736,0.129077313208073,3.74265153609007E-06,0,0.835589715802324,0.991236488488125,,0.097132648991469
RK261_Cancer2,0.03281006723241,0.03891909727103,0.625718159858239,0.046286852222168,0.041549804111594,0.094648287517197,0.12006450662914,3.22515822227897E-06,0,0.688414549189979,0.992800529215343,,0.113278968615033
RK170_Cancer,0.030777528329671,0.039613483579563,0.597785440839118,0.04433532654702,0.041071452265551,0.079365031131341,0.167051737307735,0,0,0.562226322932648,0.994295697365208,,0.111462464174785
RK137_Liver,0.033438728805806,0.033076097408604,0.648937194171108,0.043709691962884,0.047226420440664,0.06958440758718,0.123998125005952,2.93346178016549E-05,0,0.918025110065724,0.990152701058082,,0.113741246655075
RK091_Liver,0.032089160728821,0.03135666305951,0.647295632050186,0.043503986780493,0.040686720926875,0.07713934671469,0.127905971550198,2.25181892276795E-05,0,0.814011610090558,0.991258281888796,,0.104132544715205
RK060_Cancer,0.031174749602595,0.038723494439029,0.525835444473662,0.049545986939162,0.046883493343768,0.146740227956673,0.161053099097125,4.35041479867778E-05,0,0.763355813909108,0.993095449029482,,0.116781737385392
RK074_Cancer,0.023221843641854,0.033460963517368,0.666850033549916,0.033481834754894,0.037225066213837,0.089748962454243,0.116010603123053,6.92744834665157E-07,0,0.702964956327629,0.992218716866279,,0.093907873373059
RK080_Liver,0.028329261139271,0.033651050343607,0.644177170401719,0.039881388718905,0.03892913810215,0.059768871249685,0.155202191255756,6.0928788908448E-05,0,0.888960544691265,0.990492829021867,,0.100909449585027
RK079_Cancer,0.022744704177418,0.027554932930903,0.665530668139516,0.037747062653987,0.037058162165668,0.072893120645321,0.136313489447356,0.000157859839831,0,0.838325130722279,0.990755405562474,,0.087357799273989
RK010_Liver,0.035672886725037,0.034948455909223,0.662158385033013,0.046028884364876,0.044716368887927,0.083958202097652,0.092453883702688,6.29332795848766E-05,0,0.854220640716222,0.990677034898328,,0.115337711522187
RK026_Cancer,0.025195289032052,0.032721480905024,0.704833409250639,0.037954431357007,0.040916650418306,0.090291419364464,0.067963374509064,0.000123945163445,0,0.798257471463287,0.99077354252375,,0.098833420355381
RK205_Cancer,0.032339885792123,0.038101765394727,0.588756293886835,0.046163394142982,0.046459879908954,0.096911910648086,0.151250125727886,1.67444984072655E-05,0,0.741081507267454,0.992644721545142,,0.116901531095804
RK171_Liver,0.027778852330853,0.032396765388749,0.666756320628723,0.044081376602621,0.038946395911953,0.063520004830743,0.126468393795464,5.18905108931755E-05,0,0.952444955051864,0.989530908385238,,0.099122013631556
RK093_Cancer,0.079755108052876,0.0859072280069,0,0.092543332374999,0.096665178259882,0.164460595819327,0.480503056323425,0.000165501162591,0,0.568880481022343,0.998325275806078,,0.262327514319658
RK001_Liver,0.034869703182816,0.031231121884795,0.684975871391172,0.040474544295833,0.038503339116551,0.060562347023307,0.109292158165904,9.09149396228183E-05,0,0.9283189173607,0.989559410766514,,0.104604164184162
RK070_Cancer,0.034835393044895,0.037983183228356,0.676212564618249,0.046005065053182,0.042656097365054,0.06302438229461,0.099246322475628,3.69919200274548E-05,0,0.880241221827933,0.990222415891861,,0.115474673638304
RK224_Cancer,0.036602924374421,0.041826998270341,0.478981324144222,0.05520487956541,0.048592569525286,0.117456213256977,0.220634243997195,0.000700846866147,0,0.478720429193215,0.995801326599823,,0.127022492170048
RK086_Cancer,0.024409637861084,0.027668540753369,0.640698894383564,0.038261874218815,0.039329430348915,0.07591321239322,0.153641259449821,7.71505912121703E-05,0,0.869839728330264,0.99072375687664,,0.091407608963368
RK053_Cancer,0.035407013241016,0.044815620177624,0.598594421270966,0.046817440400926,0.043250310239047,0.086151519329216,0.14496272241931,9.5292189551651E-07,0,0.682677401859805,0.993124263641739,,0.123472943657687
RK316_Cancer,0.075957784097649,0.111182661854302,0,0.10988585433833,0.101323909061533,0.166518417995559,0.433009012436591,0.002122360216037,0,0.174771301332593,0.99865485989189,,0.288464355013484
RK280_Cancer,0.024097209455344,0.035986897075086,0.693283643774252,0.033932783756069,0.034260593419602,0.09206445260074,0.086373196915901,1.22300300606811E-06,0,0.850385255567187,0.990311130193564,,0.094344699950032
RK080_Cancer,0.029841306857922,0.035942344398111,0.603965185053417,0.049792554717705,0.044155657915028,0.092112320988534,0.144189175987451,1.45408183254875E-06,0,0.706806012752304,0.992823352519469,,0.109939309171061
RK115_Liver,0.027742369540477,0.029464079436807,0.676804891950302,0.041083182015602,0.040259376059085,0.057267085084781,0.127350117770929,2.88981420169435E-05,0,0.932571130761819,0.989607897452809,,0.097465825036369
RK103_Cancer,0.021376002051772,0.02626418206851,0.607156171160049,0.035362461283545,0.039419636288702,0.108931499779953,0.161388812891866,0.000101234475602,0,0.838892439357948,0.991431831538113,,0.087059820408984
RK153_Cancer,0.02908216503239,0.029870040524054,0.541474759552723,0.046818909915693,0.043703692691751,0.088357673770006,0.220686576959147,6.18155423668928E-06,0,0.590298669067378,0.994466301900089,,0.102655898248194
RK034_Cancer,0.026654646337487,0.033056187378475,0.607666115570229,0.039189526172763,0.043497289587604,0.108618168421867,0.141307547819153,1.05187124219948E-05,0,0.835924956643537,0.991483801059882,,0.103208123303565
RK029_Liver,0.032125504776638,0.032046708639018,0.644896498067185,0.046831967248306,0.042647609523733,0.061519464313469,0.139846277128226,8.59703034252051E-05,0,0.93574155402101,0.990008896544688,,0.106819822939389
RK260_Liver,0.027584371683443,0.029224858948038,0.612771965123819,0.04645198627766,0.038941053888859,0.107807942122941,0.137217821955241,0,0,0.884014912855158,0.99093981322749,,0.095750284520339
RK180_Cancer,0.024614788157915,0.03402210398059,0.588378666034677,0.042676294841107,0.039966951545311,0.098625037673983,0.171619232452678,9.6925313738921E-05,0,0.7941118785097,0.992106681521456,,0.098603843683816
RK236_Liver,0.025459630706142,0.028096346811653,0.610931893335464,0.044695874641699,0.042862747299617,0.09916351946827,0.148702714691384,8.72730457719941E-05,0,0.930185513496877,0.990494489304191,,0.096418724817412
RK307_Liver,0.027819526698478,0.029182548208094,0.651043727644357,0.044606345285219,0.043973170671192,0.072459887018385,0.130893427383834,2.13670904407921E-05,0,0.785233371142442,0.991516212036329,,0.100975245577764
RK223_Cancer,0.023746175724652,0.029425149022458,0.659885663252567,0.040024872368624,0.036770301840459,0.066807651242968,0.14330377025859,3.64162896821829E-05,0,0.808225439606625,0.991153946948274,,0.089941626587568
RK199_Cancer,0.031172069192931,0.040510214216376,0.560216359434015,0.043933363285137,0.047690366558584,0.100947957672311,0.175307023307412,0.000222646333234,0,0.778494907158625,0.992576035090604,,0.119372649967891
RK100_Liver,0.030219093745222,0.035498808381593,0.620450033067813,0.043854848409338,0.043450828101764,0.096631883829059,0.129839768432489,5.4736032722967E-05,0,0.923394003062587,0.990460256506502,,0.109168730228579
RK232_Liver,0.027633220031113,0.02727534501976,0.625592356631438,0.043967323735839,0.043426521685882,0.083323202722478,0.148776471783334,5.5583901569669E-06,0,0.911062117643961,0.99050148346616,,0.098335086736754
RK210_Cancer,0.028321981014759,0.031462570678703,0.653125311366192,0.037872929237422,0.044420895865031,0.061612070383303,0.143073372691021,0.00011086876357,0,0.895300029815814,0.990315532092859,,0.104205447558493
RK190_Cancer,0.038482914931336,0.040145385413882,0.611231174949154,0.051687932399871,0.047988926071508,0.08318478039054,0.12727822270739,6.63136320660269E-07,0,0.729209804897863,0.992548866706747,,0.126617226416725
RK194_Liver,0.028659021357699,0.030899486423148,0.689693993774346,0.041948283546687,0.034786820716394,0.053368946456073,0.120573027851603,7.04198740502782E-05,0,0.910223883724778,0.989686280898137,,0.09434532849724
RK143_Cancer,0.031263849955898,0.030895419137556,0.586891914710689,0.04586390735576,0.042020269412661,0.075252490669831,0.187812148757606,0,0,0.625807110233914,0.993757924635373,,0.104179538506115
RK036_Liver,0.029569264844945,0.029806046369585,0.620999520076505,0.043985110365773,0.040734314027074,0.092802188123934,0.142059700167959,4.38560242260176E-05,0,0.938559521018949,0.990285041093755,,0.100109625241603
RK166_Liver,0.02624367374873,0.027861229203395,0.628994671855631,0.039475026095049,0.038872798888829,0.084040924703412,0.154464126835581,4.75486693724232E-05,0,0.84214390763167,0.991156166907745,,0.092977701840955
RK073_Cancer,0.030862261271808,0.026629243497813,0.690867848054014,0.047268925870272,0.037926279833643,0.04810412710171,0.11829174976546,4.95646052796357E-05,0,0.876139403615407,0.990058737501342,,0.095417784603264
RK024_Liver,0.028194490390721,0.0303173711018,0.649970389685461,0.042522000135305,0.036874018950922,0.055020385242738,0.157054158492083,4.71860009705115E-05,0,0.931057375513504,0.989969270905754,,0.095385880443442
RK338_Cancer2,0.026578557537859,0.03451748525677,0.673137285910641,0.034639673949132,0.03793144420818,0.083382065017041,0.109812643860033,8.44260343812762E-07,0,0.751505590315082,0.99163402767507,,0.099027487002809
RK025_Cancer,0.027991653717435,0.038678122794486,0.645740898795934,0.039867595967135,0.046417700342197,0.090299118315921,0.111004804472464,1.05594428073449E-07,0,0.830174184748625,0.991115011305652,,0.113087476854118
RK235_Cancer,0.033161396797773,0.035790215575547,0.640441871354534,0.044697264096423,0.043980365889589,0.076543757500018,0.125155941649341,0.000229187136776,0,0.79191344073134,0.99156620872682,,0.112931978262909
RK070_Liver,0.031393735037037,0.032111425167287,0.667934408702579,0.04535231087656,0.042171987093583,0.062293817338611,0.118691279790908,5.10359934340944E-05,0,0.892133511577972,0.990179943722275,,0.105677147297908
RK039_Liver,0.037628234702204,0.04090523479771,0.642378836641089,0.04693597076409,0.045233452448925,0.070545475733674,0.116348076733411,2.47181788966084E-05,0,0.917626738143262,0.990260138882988,,0.12376692194884
RK163_Liver,0.034838649603705,0.033691832220124,0.621012166574871,0.045606657729381,0.050947025047903,0.09179407909402,0.122074022395652,3.55673343439347E-05,0,0.931501473522949,0.990386647940057,,0.119477506871733
RK204_Liver,0.033952492745047,0.036374607887765,0.698423848887872,0.042157155524584,0.041286338037276,0.052901295094868,0.094887987948066,1.62738745223895E-05,0,0.882384136119067,0.989913936056394,,0.111613438670089
RK018_Liver,0.036262625289435,0.037449107858196,0.645836129175435,0.046615889222209,0.046223840797949,0.071075324224482,0.116406413008672,0.000130670423623,0,0.950473040196379,0.989861405146528,,0.11993557394558
RK199_Liver,0.02688835840897,0.028944096421964,0.648458900414444,0.041514546938025,0.040834118602361,0.069428652961335,0.143875895989164,5.54302637372717E-05,0,0.937911650427521,0.989920526507736,,0.096666573433295
RK192_Cancer,0.030238933726665,0.035589455338743,0.596411889080611,0.04483925231227,0.041382856973268,0.104181490623553,0.147188598749313,0.000167523195577,0,0.768933398912305,0.992276366728153,,0.107211246038675
RK272_Cancer,0.083061747377654,0.136853509088689,0.126616358600609,0.101253367028274,0.101395641742489,0.216261181792167,0.234554845420017,3.34895010249276E-06,0,0.278756012821331,0.998875335227801,,0.321310898208832
RK156_Cancer,0.045586247483768,0.040289638036108,0.496511417400752,0.0590124689778,0.050981796035565,0.13123445510422,0.176383976961786,0,0,0.663597251177465,0.994267156794546,,0.136857681555441
RK165_Cancer,0.025778102895968,0.026142214035689,0.643089682713378,0.043832756455838,0.039746845253281,0.05092245443224,0.170487944213607,0,0,0.821278822602572,0.991205271286161,,0.091667162184937
RK052_Liver,0.032074258381325,0.03245083548614,0.630196333101238,0.042256494840764,0.043329034107091,0.077897302083005,0.141713872124942,8.18698754947469E-05,0,0.931538970661059,0.990243001298458,,0.107854127974556
RK142_Cancer,0.032530313766608,0.038518787559617,0.556198502916291,0.046672952212005,0.045968362223478,0.125271608703813,0.154839472618188,0,0,0.491515879609535,0.995276837416766,,0.117017463549703
RK178_Liver,0.033819436691067,0.034156005711218,0.65254260599241,0.045731570235082,0.046656505087386,0.079575768210402,0.107466975035258,5.11330371771106E-05,0,0.869176561057838,0.990630487978089,,0.114631947489671
RK118_Cancer,0.026247263804888,0.03227917545259,0.675007465191468,0.034721993275698,0.036181918595161,0.080473615151823,0.115087043721313,1.52480705933324E-06,0,0.810618326150094,0.990962016169245,,0.094708357852639
RK140_Liver,0.031736696661936,0.031884423185072,0.610484256834545,0.043291971201805,0.043299673522731,0.093183138726534,0.146071259547454,4.85803199225204E-05,0,0.921385928216638,0.990602936262212,,0.106920793369739
RK213_Liver,0.024872072901962,0.023284315682905,0.601612834555082,0.041794555267343,0.039152650276387,0.100799810703675,0.168430840898229,5.29197144177446E-05,0,0.896158035183335,0.990935616700789,,0.087309038861253
RK126_Liver,0.033635070574498,0.031809074078807,0.665357604266138,0.04165213991831,0.043206659531892,0.054973587035681,0.129301097160833,6.47674338407018E-05,0,0.909185250807636,0.990025148772475,,0.108650804185197
RK184_Liver,0.029110677055703,0.027961852740534,0.647881380914337,0.046287110370851,0.035858876894524,0.061115168805943,0.151677806054981,0.000107127163128,0,0.779073732784922,0.991603762512533,,0.092931406690761
RK188_Liver,0.030954079072663,0.026264798672612,0.619422301197525,0.049060282865438,0.044302394985753,0.077193410299709,0.152773806619069,2.89262872322232E-05,0,0.805213620433417,0.991662787142437,,0.101521272731027
RK212_Liver,0.026494824547231,0.024524909190874,0.666218168441684,0.038843680357608,0.037954403341473,0.061397282728113,0.144479338156014,8.73932370030692E-05,0,0.801514510122596,0.991150890453177,,0.088974137079578
RK105_Cancer,0.023003160606208,0.03414087893568,0.659090705474899,0.036647558733709,0.043123425127054,0.082291771803965,0.121701542150295,9.57168189976661E-07,0,0.837060083028149,0.990865862254235,,0.100267464668942
RK227_Liver,0.029824325616294,0.030719761952483,0.648530288683357,0.046966500980342,0.043757037575842,0.08044968687662,0.119698669129527,5.37291855352562E-05,0,0.946651489404451,0.98984838110105,,0.104301125144618
RK111_Cancer,0.034891260491125,0.046675737776944,0.623855774863699,0.043495999871761,0.045480767110403,0.092759367402687,0.11283984256813,1.24991525199242E-06,0,0.655359272765733,0.99316569814057,,0.127047765378472
RK035_Liver,0.0317649758394,0.035536879490413,0.65942712730774,0.04821057669379,0.03965784232339,0.071385169631229,0.113985547482359,3.1881231679948E-05,0,0.928946748407161,0.989899243148705,,0.106959697653203
RK230_Liver,0.032326772678328,0.037327191502655,0.621860998876003,0.042646603523169,0.046271623975603,0.09298385776175,0.126526610073321,5.63416091721139E-05,0,0.940027486432762,0.990280672470579,,0.115925588156585
RK188_Cancer,0.034575641191507,0.041595034110647,0.603382649647407,0.051108341327624,0.042350777997706,0.086323379020568,0.140542543456164,0.000121633248377,0,0.693036792965566,0.9929735647194,,0.11852145329986
RK113_Cancer,0.027845283296861,0.025193417221647,0.56266536239686,0.045077991412918,0.040381652260608,0.112603787169838,0.186140737442112,9.17687991564768E-05,0,0.616051391788662,0.994048937867736,,0.093420352779115
RK050_Liver,0.030235752065228,0.032016806598733,0.606432406094663,0.04632688176728,0.042214514831523,0.090902926916214,0.151753302086907,0.000117409639452,0,0.914843023371417,0.990716732764553,,0.104467073495485
RK091_Cancer,0.094580997224857,0.124118967420662,0,0.104176940881537,0.096183016087208,0.216263033023371,0.364613457597622,6.3587764743439E-05,0,0.102869565012931,0.999524689123683,,0.314882980732727
RK145_Cancer,0.035222250841868,0.038837189845927,0.593579303977053,0.051948416775473,0.04577553893327,0.084235148966157,0.150402150660251,0,0,0.875705450809466,0.991291766435368,,0.119834979621065
RK125_Cancer,0.028875254639451,0.036982887997109,0.628127636839516,0.040545411277558,0.045885044922635,0.073876859841175,0.145706904482557,0,0,0.856680538150469,0.99104104298478,,0.111743187559195
RK001_Cancer,0.036201661693165,0.04614316698299,0.615572558709534,0.046320065909715,0.048706193195101,0.085182010415274,0.121361827634215,0.000512515460007,0,0.751892235007999,0.992208673038843,,0.131051021871255
RK054_Cancer,0.022144362670834,0.029939695695367,0.613346444803755,0.035430204691484,0.039496245818776,0.096813949114187,0.162673369852664,0.000155727352932,0,0.808726640015673,0.991665560211648,,0.091580304184978
RK270_Liver,0.030217244638869,0.029487299726221,0.647024364889895,0.043776028405787,0.042890702657076,0.06646413211775,0.140089084970658,5.11425937451795E-05,0,0.867174633833882,0.990696272537082,,0.102595247022165
RK077_Cancer,0.024411364534343,0.029067584702167,0.709866352604132,0.028078675937309,0.037018894321141,0.074012317886365,0.097544401776838,4.08237704476319E-07,0,0.797843246676502,0.990702211987576,,0.090497843557651
RK095_Cancer,0.025392216064743,0.038009933347419,0.590516670048591,0.040429851017029,0.045081177639395,0.092782522449938,0.167669070327296,0.000118559105589,0,0.643638001298279,0.993554565247092,,0.108483327051557
RK201_Cancer,0.022775695055407,0.024030484382158,0.600667721109574,0.040654719171715,0.037822447882264,0.113389126020822,0.16042983835187,0.00022996802619,0,0.899223877329721,0.990899595311236,,0.084628627319829
RK075_Liver,0.029841247410053,0.031383434129442,0.6647146959829,0.038518809769554,0.037166222674108,0.054434283625915,0.143852616471124,8.86899369036672E-05,0,0.91929563500828,0.989904759927377,,0.098390904213603
RK051_Liver,0.026713929997447,0.031727191909534,0.647614933735474,0.044388471147173,0.040859635927648,0.060645030087119,0.148010737571785,4.00696238206063E-05,0,0.862861077968271,0.990729460958205,,0.099300757834629
RK043_Cancer,0.031681445544512,0.03172558152321,0.628355734534318,0.044808579236627,0.043238248674789,0.089804558214111,0.130366754050589,1.90982218441228E-05,0,0.816525234501959,0.991452444514584,,0.106645275742511
RK032_Liver,0.031684796764677,0.034994468565929,0.609868123915108,0.043523159390701,0.043128946893195,0.093337473941517,0.143391280317258,7.17502116163764E-05,0,0.930916806632656,0.990519722170627,,0.109808212223801
RK028_Liver,0.028479702851751,0.035498591634861,0.658284460764749,0.044758993909455,0.044466814175965,0.071974933719529,0.116489224184247,4.7278759442536E-05,0,0.939517137370117,0.989797933664322,,0.108445108662577
RK138_Liver,0.028596368733742,0.032854982967132,0.61762071790084,0.049606052714812,0.044513820829083,0.061570909680941,0.165148083514996,8.9063658454093E-05,0,0.839961883766223,0.991332692186269,,0.105965172529957
RK181_Cancer,0.027168547929646,0.040520567999654,0.644666082185887,0.040594963015889,0.043937915514199,0.10224812919627,0.10082901129913,3.4782859325135E-05,0,0.743815944007957,0.99203375404863,,0.111627031443498
RK103_Liver,0.030009262074599,0.031396114437129,0.610217817742639,0.043005070922905,0.042169211990298,0.096839717618768,0.146283316239778,7.9488973884019E-05,0,0.943011667860952,0.99038419824774,,0.103574588502026
