Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
RK256_Liver,0.710256744019829,0.0281535151820084,0.0457881894478692,0.0710303598922401,0.0471997340501756,0.0340490672976402,0.0316796756870831,0.0318427144231546,0,0.86286256701794,0.523167719496345
RK098_Cancer,0.26338214624086,0.130989519005057,0.103190660299313,0.134044791595261,0.10503157773849,0.00763952110245251,0.031793105801344,0.223928678217223,0,0.877841830766183,0.535223625991882
RK236_Cancer,0.307028214056906,0.0964316547486538,0.135114688540553,0.0819312605296354,0.0893703984749994,0,0.0882800527433301,0.201843730905922,0,0.860384390711086,0.586984676471699
RK229_Cancer,0.484720603145599,0.154506674056917,0.123653830663445,0.0365043126305731,0.045906600603409,0.0463724368738572,0.0750924878267504,0.0332430541994492,0,0.890994814812126,0.484037445880078
RK128_Cancer,0.362763305046196,0.139587957483505,0.159147758376149,0.00336072807262571,0.0640507139369955,0.0408966632180962,0.0461539358454088,0.184038938021025,0,0.697023430979373,0.723082357370982
RK107_Cancer,0.699639982916776,0.0722210863324592,0.101033331722181,0.00578605516643274,0.0110928223103304,0.0286012945263751,0.0250678324736991,0.0565575945517462,0,0.868490765806482,0.513248030513404
RK208_Cancer,0.026355215049256,0,0.150263174880856,0.321059875018399,0.176190690714636,0,0.110167752504524,0.215963291832328,0,0.709153905558022,0.753411768809437
RK107_Liver,0.786550299262732,0.0592567342140187,0.0456101468522166,0.00953121342648148,0.0129125914962239,0.0436001507344487,0.042538864013879,0,0,0.918837682740688,0.418222125980427
RK193_Liver,0.473502365547565,0.0358686208952497,0.136749204980787,0.103144244888619,0.103477703460429,0.0351830868497158,0.0288054645123717,0.083269308865263,0,0.777591432181208,0.65855449128038
RK019_Liver,0.794205988084351,0.0448024467498697,0.0240491954485163,0.0202818426426856,0.0430510478080808,0.0293798577501761,0.0442296215163206,0,0,0.899412579314431,0.456949031963836
RK018_Cancer,0.495926404494362,0.048631611407602,0.0979193529018457,0.115676588221162,0.0327971217744439,0.056759326066937,0.114974567780617,0.0373150273530304,0,0.820313163077653,0.60181131588807
RK060_Liver,0.76489079477967,0.0708013468544806,0.0429846084415877,0.0112505852721338,0.021812017624665,0.0424253089966582,0.0438147912973398,0.00202054673346503,0,0.897403264586269,0.460234521443199
RK024_Cancer,0.495892914224595,0.0686146157197919,0.0838733216550277,0.064033076800312,0.102275538407995,0.0308775698941397,0.0395000305977662,0.114932932700372,0,0.796206847405885,0.628445222220538
