Mixture,Other,Non-inflammatory_Macrophage,alpha-beta_T_Cells,Inflammatory_Macrophage,NK-like_Cells,gamma-delta_T_Cells,Mature_B_Cells,Plasma_Cells,P-value,Correlation,RMSE
GSM363083,0.653180805765795,0.00410752742663693,0.023172824768963,0.00395914394099149,0,0,0.0260521467666015,0.289527551331012,0,0.633632125687192,0.774578572644279
GSM363084,0.923448302191131,0,0,0,0,0,0.00481821818315161,0.0717334796257169,0,0.754325752907241,0.669747577161956
GSM363085,0.726283305735576,0,0,1.44601901488014e-05,0,0,0.0154401867655204,0.258262047308754,0,0.662521436030886,0.751884142192695
GSM363086,0.926898541322753,0,0,0,0,0,0.00202513008840924,0.0710763285888382,0,0.853415815100246,0.524502383172606
GSM363087,0.90270704498856,0,0.00503542672486387,0,0,0,0.0101971968092105,0.0820603314773652,0,0.852037905981328,0.525766987025396
GSM363088,0.332778616686598,0.240541076632553,0.156951225407582,0.0052663466429455,0,0.00792909016936887,0,0.256533644460954,0,0.183235012213215,1.07901272526749
GSM363089,0.938360063950992,0.000230098886015778,0.0172505019321223,0,0,0.000595726204952863,0.0184404239827015,0.025123185043216,0,0.856799336945096,0.519408602893618
GSM363090,0.963325330590602,0,0,0,0.0149079074481289,0,0.021766761961269,0,0,0.840938456760702,0.548660316922606
GSM363091,0.945740628371136,0.0144540631896328,0,0,0.00442372401259072,0,0.0251383306031674,0.0102432538234735,0,0.778524385735661,0.641746922467034
GSM363092,0.96991904440946,0,0,0,0.00597675709459351,0,0.0241041984959462,0,0,0.731007288472016,0.709653790274588
GSM363093,0.961023546788604,0,0,0,0.0127149143387728,0,0.0255752936262602,0.000686245246362548,0,0.86662105455822,0.5039834852628
GSM363094,0.976341502197069,0,0,0,0.0124826449603006,0,0.0111758528426304,0,0,0.878835145426167,0.482846758994307
GSM363095,0.899943108306358,0.0110171117567766,0,0,0.00724771532301038,0,0.0459180146064554,0.0358740500073999,0,0.813084068613474,0.585903580333318
GSM363096,0.93652333764975,0.0121354610002135,0,0,0.00800497400857043,0,0.0239479709415789,0.0193882563998873,0,0.824095198010843,0.573027913854818
GSM363097,0.917335456549248,0.0111893081089236,0.0138476463551385,0,0.00308128252177636,0,0.0204633378018067,0.0340829686631071,0,0.862558030583568,0.5087951211214
GSM363098,0.861895170962595,0,0,0.000509231437314833,0.00464622287535336,0,0.0295983278179362,0.103351046906801,0,0.60490218623655,0.826664794634739
GSM363099,0.718478201678012,0.0241850470338292,0.0360916953187655,0.0193846677523734,0,0.0154305080451328,0.0131352919328341,0.173294588239053,0,0.565650213557438,0.838877212101993
GSM363100,0.764901537943858,0,0,0.000810146767281222,0,0.00199570439002813,0,0.232292610898832,0,0.671100848666282,0.746393465683777
GSM363101,0.833621146906084,0,0,0,0,0,0.0136149307472471,0.152763922346669,0,0.723858668564588,0.6953912252832
GSM363102,0.96155590435325,0,0,0,0.000454973232597747,0,0.00251806473664282,0.0354710576775098,0,0.78013471100549,0.641459552033096
GSM363103,0.805335637731056,0.0129062322174813,0.0223588011491454,0,0.00815755839569938,0,0.0882527339618328,0.0629890365447849,0,0.823300391287542,0.57063788460562
GSM363104,0.984682923480409,0,0,0,0,0,0.0153170765195915,0,0,0.691097317232777,0.763768999055622
GSM363105,0.815172256551291,0,0,0.00037926262809466,0,0,0,0.184448480820614,0,0.555687856362207,0.864358868645177
GSM363106,0.853685654665059,0,0,0,0,0,0.00815533436308945,0.138159010971851,0,0.730773525839371,0.689444416365648
GSM363107,0.890729538780225,0,0,0,0,0,0.00604376104135011,0.103226700178425,0,0.79296914860693,0.613595350142864
GSM363108,0.931876964580978,0.00146484890439325,0.0044222346199468,0,0.000568546343484789,0,0.00921213674144206,0.0524552688097552,0,0.841798926597518,0.544014900503688
GSM363109,0.821014505726454,0.00258765695093358,0,0.0155085254950377,0,0,0,0.160889311827575,0,0.062416444452432,1.23920136270769
GSM363110,0.941744549440409,0,0,0,0.00633582241432761,0.000827502852460883,0.0509476510674136,0.000144474225389377,0,0.787329317318707,0.627557299478682
GSM363111,0.980035524588636,0,0,0,0.00649767051675989,0,0.0134668048946043,0,0,0.780848364621568,0.644186143849146
GSM363112,0.959403515020099,0,0,0,0.0152677639350274,0,0.0219037030958389,0.00342501794903421,0,0.851534553877975,0.53033067751106
GSM363113,0.984929160823361,0,0,0,0.00210013796950803,0,0.0129707012071306,0,0,0.849424888539551,0.537335389793893
GSM363114,0.942963742785306,0,0,0,0.0102455565517846,0,0.0431723734633299,0.00361832719957935,0,0.861767766459845,0.511056908807212
GSM363115,0.855830561003488,0.000185075054359392,0.0366174718635184,0,0,0,0.0568704811669428,0.0504964109116914,0,0.765473819678567,0.646606340838769
GSM363116,0.971007064060768,0,0,0,0.00631321969399672,0,0.0188835135700019,0.00379620267523339,0,0.878109268842316,0.483653376278262
GSM363117,0.937871312111552,0.00984283727345057,0,0,0.0101519882009913,0,0.0199410273817919,0.0221928350322145,0,0.858522831421947,0.516791166922396
