Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
RK030_Cancer,0,0.307479441634691,0,0.137331166322216,0.185490636867515,0.369698755175577,0,0.733016622680487,0.778293236803186
RK198_Cancer,0.0758327938636453,0.52579914046419,0.00978022179871935,0.059631489515066,0.0700997444095618,0.258856609948817,0,0.860871359411415,0.824901412130426
RK151_Cancer,0.0199578398106196,0.285531880268635,0.0221097805689641,0.11021448255107,0.113409202875826,0.448776813924886,0,0.69021421594098,0.825346699025523
RK261_Cancer,0,0.347402829801055,0.0366291722499544,0.155869129910103,0.107698732787863,0.352400135251024,0,0.636705773762672,0.806305046973026
RK175_Liver,0.0232768654552439,0.220333496942125,0.0847822077552911,0.260071599010711,0.0927745344646436,0.318761296371985,0,0.689025727137721,0.726999276312907
RK030_Liver,0,0.1647617895515,0.0457574114459784,0.267850405589549,0.1439464524863,0.377683940926673,0,0.834684474640266,0.579925230819848
RK058_Liver,0.0403696146438437,0.303134670182839,0.0792761270123369,0.19705812748829,0.148439272691398,0.231722187981292,0,0.825342964344248,0.655126790350356
RK044_Cancer,0.00510629043642884,0.358498107978162,0.0552998813520177,0.14648413533737,0.0673927299787747,0.367218854917246,0,0.71902540272202,0.772962821107559
RK131_Liver,0,0.241493572115969,0.0855461869421827,0.345441864296055,0.114752381219504,0.212765995426289,0,0.944683336896704,0.349341320162867
RK099_Cancer,0.0594539211065429,0.385718192630213,0.00994502499661135,0.0772242649838876,0.0211987515016838,0.446459844781061,0,0.808095470708336,0.825261085117977
RK326_Liver,0.0086323448497438,0.219044221595357,0.0145414661302764,0.339948941956364,0.150798807484395,0.267034217983863,0,0.946290734655744,0.349815241497116
RK150_Cancer,0.0304998209602398,0.273212424453314,0.0375125884566497,0.272834988054958,0.129858116391138,0.2560820616837,0,0.910023772041444,0.480502845776036
RK214_Cancer,0,0.361057752486203,0.0110963358188358,0.0733685505126741,0.0621258699754289,0.492351491206858,0,0.670171931558472,0.867589330858671
RK088_Cancer,0,0.328785184274353,0.00672910723340087,0.0359038714038694,0.109640928700492,0.518940908387885,0,0.749949809092206,0.894339380253928
RK044_Liver,0,0.555185795493214,0.0372679308045414,0.0995568616871336,0.130000431397324,0.177988980617787,0,0.864930635342923,0.761100855532962
RK071_Cancer,0.0538834180838996,0.272835045498832,0.0277261505540333,0.136858842539148,0.0711836773050053,0.437512866019082,0,0.698695303269526,0.794536813624228
RK261_Cancer3,0,0.347402829801055,0.0366291722499544,0.155869129910103,0.107698732787863,0.352400135251024,0,0.636705773762672,0.806305046973026
RK089_Cancer,0,0.5288884430018,0.0190053096288281,0.0118538666642264,0.0752932546968063,0.364959126008339,0,0.401618997341748,0.949685934859558
RK083_Liver,0,0.177733082534177,0.0741281984643584,0.353402103491541,0.116001193649673,0.27873542186025,0,0.866419591840646,0.503661932596338
RK119_Cancer,0.00624136315341958,0.300466561393191,0.0253096711903022,0.0435484666160975,0.0716147260755384,0.552819211571451,0,0.719703431467736,0.892817749621487
RK326_Cancer,0.128308532036774,0.198440971905428,0,0.0622543673703938,0.0882030167396825,0.522793111947721,0,0.506098562770459,0.921613198892257
RK172_Cancer,0.0718390717680968,0.265871347423596,0.0197113126496736,0.151721247777484,0.0419840202395433,0.448873000141607,0,0.808568453230996,0.723943654346377
RK146_Cancer,0.0828835745370144,0.229381863986494,0,0.0278988069809323,0.193337407946907,0.466498346548652,0,0.730065950869282,0.916578053174427
RK108_Cancer,0.0220930763459574,0.364562255048888,0.068958063307806,0.183100018105476,0.0862328951302687,0.275053692061604,0,0.869642148648884,0.638809030850332
RK106_Cancer,0.0168591482001632,0.454165325740893,0.0202627231749181,0.0699606648928546,0.112477087116974,0.326275050874197,0,0.828912555542931,0.82512450129194
RK021_Liver,0.0131148569975159,0.343346016257586,0.0432923799688201,0.254236369881595,0.115354168305444,0.230656208589039,0,0.948217228562164,0.45160170256495
RK134_Cancer,0.00983489200807839,0.32015637145788,0.0248074466037689,0.105771074069096,0.0961751788240466,0.44325503703713,0,0.676820216666935,0.833461450485372
RK284_Cancer,0,0.297905474634518,0.0141432088842387,0.166325980448263,0.155921643458874,0.365703692574106,0,0.643008342917,0.797123711691544
RK167_Liver,0.00455873950758959,0.30005336000921,0.0837296329415689,0.343383167158154,0.0789106665618255,0.189364433821652,0,0.954425282441019,0.326054582941304
RK115_Cancer,0.00469719578260919,0.445734158366378,0.0235469697218617,0.1186682704491,0.0812688524734412,0.32608455320661,0,0.895484571498033,0.72486828116339
RK026_Liver,0,0.31151768876398,0.0585797106140285,0.319928367059494,0.0964029767557883,0.213571256806709,0,0.859370018875188,0.5196854880782
RK265_Cancer,0,0.330577510430217,0.0249895948567627,0.203373729860916,0.109999106484099,0.331060058368006,0,0.896187479690158,0.588772694249824
RK256_Liver,0.00409606998474972,0.320023218471614,0.0806891740111269,0.355990821667673,0.0564719690764615,0.182728746788375,0,0.912545753736511,0.416597518300166
RK098_Cancer,0.0493575216659901,0.549285589944254,0.0202855656591727,0.0604146526205148,0.0156334393561358,0.305023230753933,0,0.850143661113539,0.823095769798152
RK236_Cancer,0,0.419213646497537,0.0215473552338308,0.0816316458276404,0.111912068480727,0.365695283960264,0,0.809989043862223,0.816244336788181
RK229_Cancer,0,0.555775918258662,0.0178428646778415,0.146491026838216,0.0957316065007219,0.184158583724558,0,0.876209464018027,0.682616826394831
