Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE
RK106_Liver,0.0294740545941001,0.031727828471264,0.646528037506883,0.044142581937057,0.0422441194476925,0.0681105662637395,0.137606425105454,0.000166386673809662,0,0.927371132352348,0.990063824880737
RK200_Liver,0.0289586419895261,0.0285601218270096,0.660967905849964,0.0424047006192249,0.0369441688453969,0.0610645484383859,0.141049802032011,5.01103984810896e-05,0,0.905553944364691,0.9901023314196
RK245_Cancer,0.0259737808126722,0.0301739870568318,0.618057870138609,0.0448016407542749,0.038071894051299,0.0718030106975875,0.171092788594832,2.50278938931634e-05,0,0.751943154714226,0.992202592921936
RK257_Cancer,0.0271319754561605,0.0311373976741502,0.636941299402915,0.0407774695169437,0.0383581489274012,0.074329897044521,0.151294768460486,2.90435174223742e-05,0,0.831742624192034,0.991176674936996
RK003_Liver,0.0294912248395022,0.0361438496478075,0.679689827236507,0.0426635145054358,0.039354301155265,0.0646952908179005,0.107867891051261,9.41007463213577e-05,0,0.925986186582531,0.989657286808697
RK164_Cancer,0.0317420682475445,0.0312674722770927,0.605564565532071,0.0438169085451179,0.0381444941575968,0.112941766870785,0.13636852972629,0.000154194643502521,0,0.780663699880839,0.992056885472892
RK124_Liver,0.0261474595810379,0.0282019777951384,0.613094283239353,0.0421087054475288,0.0397720372390826,0.0970243666495264,0.153619170723507,3.19993248254266e-05,0,0.927830857890343,0.990484859813171
RK064_Liver,0.0316253790985106,0.0362125585150502,0.638237270119256,0.0426540492149251,0.0450212838848744,0.0807006434998308,0.12551490873979,3.39069277627508e-05,0,0.95662646877267,0.989887625794979
RK095_Liver,0.0297766976578006,0.0357480283941155,0.67647200844327,0.045753412557329,0.0411701071537141,0.0544404160704275,0.116614613777703,2.47159456401025e-05,0,0.957271856834185,0.989360318435142
RK109_Cancer,0.0257251948634459,0.0290250213150775,0.609081152711935,0.0380929514969125,0.0413136828817088,0.0964133035515665,0.160171662283643,0.000177030895710234,0,0.804127836697769,0.991766044054609
RK002_Cancer,0.0215378967257786,0.0399585544055175,0.586091261084105,0.0405203870116012,0.041214348609052,0.0912215743072975,0.17944691369519,9.0641614584238e-06,0,0.649940798691743,0.993528377276945
RK020_Cancer,0.0247386681949657,0.0324802590278116,0.620514300246213,0.0374167391413903,0.037090180866662,0.0906335127195087,0.157031979250889,9.43605525599371e-05,0,0.736074229360913,0.992334093380356
RK062_Liver,0.0291889423029416,0.0339450867523609,0.639107591208222,0.0468071014354804,0.0438511746018831,0.0678670096337771,0.139214183215859,1.89108494763805e-05,0,0.915455663412973,0.990298244988031
RK023_Liver,0.0222634121488985,0.0303861734661412,0.629823250569194,0.040523482587518,0.0376660582062864,0.0824453110050526,0.15686496156131,2.73504555994117e-05,0,0.709898262127816,0.992507316041073
RK054_Liver,0.0292668922414044,0.0335760631175908,0.653133543808255,0.0420949628476208,0.0436102643419436,0.0566324873300471,0.141654260335287,3.15259778516261e-05,0,0.922342301829207,0.990037255136481
RK312_Liver,0.0351063558456748,0.0335323724151402,0.678034030927174,0.0492156499526907,0.0436705179031319,0.0506326343502532,0.10974133730694,6.71012989951914e-05,0,0.897214101177386,0.990009533711361
RK267_Liver,0.0270540612651555,0.0324513543324349,0.619813656158781,0.0452848690414225,0.0430949606962917,0.0864518292802672,0.145781950298003,6.73189276439142e-05,0,0.925019585634296,0.990441186038086
RK163_Cancer,0.0266345267640136,0.0349520567138452,0.553534499625367,0.0465519826082519,0.0438908597470628,0.142648693666825,0.151782798396929,4.58247770521131e-06,0,0.743922793258647,0.992967348348316
RK143_Liver,0.0310656555085983,0.0303603873940561,0.615766246001101,0.0436438125290371,0.0430747394951286,0.0857160343775165,0.150309969752115,6.3154942447612e-05,0,0.909587009980689,0.990649636885625
RK305_Liver,0.0290451257025808,0.0248635046522633,0.664679262130057,0.0466491958390098,0.0352220202047618,0.0543384081049236,0.145156166562483,4.63168039205159e-05,0,0.799895952849261,0.99119363361206
RK022_Liver,0.030629504283197,0.0369340458486274,0.591520570181376,0.0434446141556386,0.0465310999768012,0.100716780300717,0.150183719379791,3.96658738523936e-05,0,0.910157265870763,0.990965719100934
RK230_Cancer,0.023583921998251,0.0310601826316365,0.67625165632657,0.0381281157064158,0.0434996737335767,0.0792560487984716,0.108157983914455,6.24168906228658e-05,0,0.882617468138279,0.990165108738179
RK186_Liver,0.0312845046714639,0.0381044573902787,0.688620650289474,0.0452903078654861,0.0416093082974195,0.072791211416079,0.0822995600697992,0,0,0.940436448660878,0.989395597806473
RK169_Liver,0.0296522566771201,0.034772981680388,0.544585519750329,0.0487105187441383,0.0406275692309492,0.122785737447668,0.178778588825535,8.6827643872174e-05,0,0.735825426981473,0.993131440979304
RK035_Cancer,0.0281254388376902,0.0406033752363721,0.669916325005354,0.0437768030745482,0.0388903462001205,0.0674636187892299,0.111194266005962,2.98268507237335e-05,0,0.811746054408244,0.991030875886021
RK006_Cancer2,0.0265462990773941,0.0371226656776494,0.665765543088876,0.0394683906620552,0.04315487759605,0.0801678052980192,0.107763491785665,1.09268142908609e-05,0,0.892455801720487,0.990201784904673
RK337_Cancer,0.0363753390404094,0.0387573571228025,0.627870628235713,0.0436996297491389,0.0486257501176162,0.0873259527220707,0.117302333313356,4.30096988930903e-05,0,0.849353753211675,0.991142536102394
RK259_Cancer,0.0276691694517073,0.0364132789833162,0.65950123880144,0.0393874201578129,0.0433438564199282,0.102695421638561,0.0909878510629919,1.76348424271592e-06,0,0.666235207436355,0.992704040957912
RK006_Cancer,0.0265462990773941,0.0371226656776494,0.665765543088876,0.0394683906620552,0.04315487759605,0.0801678052980192,0.107763491785665,1.09268142908609e-05,0,0.892455801720487,0.990201784904673
RK085_Liver,0.0237547978577949,0.0254661250703205,0.62086305401828,0.0433669197351318,0.0409752757044933,0.0868025601505111,0.158699406958545,7.1860504923417e-05,0,0.934349771705018,0.990311075749263
