Mixture,CD8+ Cells,Tregs,Non-immune cluster,Nk Cells,CD4+ Cells,B Cells,Myeloid,Mast Cells,P-value,Correlation,RMSE,,T Cells
TCGA-2Y-A9H2-01,0.148998494506714,0.112507480939799,0.251841627311518,0.144739101915972,0.146500956388204,0.047811268955116,0.147122739972988,0.000478330009689,0,0.637743558607552,0.818708583083636,,0.408006931834717
TCGA-2Y-A9GW-01,0.084879471212214,0.015471029852824,0.581738686394344,0.089048536429826,0.094777320666363,0.024738906999435,0.108752745438247,0.000593303006746,0,0.771219077075791,0.639078179145074,,0.195127821731402
TCGA-ZS-A9CE-01,0.102088292631594,0.000552214714699,0.68266185780597,0.032406510059886,0.120482650352497,0.027526226504616,0.03265548872119,0.001626759209549,0,0.802665588743878,0.6027743459433,,0.22312315769879
TCGA-DD-A4NQ-01,0.130133796121571,0.051549725995763,0.465675697737744,0.122900794682325,0.054187097323643,0.038448581025007,0.133415819257251,0.003688487856696,0,0.747248131644262,0.679095954014957,,0.235870619440976
TCGA-5C-AAPD-01,0.099576514093357,0.08045212942762,0.421848375459641,0.16153045818901,0.039292403286097,0.055732717844356,0.140414588335661,0.001152813364258,0,0.581049649322652,0.814245716246168,,0.219321046807074
TCGA-DD-AAVW-01,0.10423919646639,0.01325785137326,0.596319294548063,0.046469425737633,0.140905379135426,0.033044418942567,0.06554571154107,0.000218722255592,0,0.774724258426815,0.634594442253448,,0.258402426975076
TCGA-EP-A2KC-01,0.09501384807927,0.028260086211697,0.541755847246644,0.072116493757347,0.104108294583708,0.036468600681095,0.120027427504351,0.002249401935888,0,0.771683698857499,0.641625883016523,,0.227382228874675
TCGA-MI-A75E-01,0.085563626497197,0.041013461951826,0.638885276950897,0.091761473816052,0.066813446664878,0.017636547139487,0.055758204981142,0.002567961998521,0,0.828069096944804,0.564263441934682,,0.193390535113901
TCGA-DD-A116-01,0.096071070278364,0.021821919234793,0.59878775302412,0.106000041876159,0.048017303389121,0.025215079983441,0.10351298001161,0.000573852202391,0,0.832609649085018,0.560721139218841,,0.165910292902279
TCGA-GJ-A9DB-01,0.134905028042807,0.013738517238529,0.567414123627221,0.083211492215098,0.099447745284949,0.026028301519099,0.073333762899428,0.001921029172871,0,0.760978658076255,0.651398151854178,,0.248091290566284
TCGA-CC-A7IL-01,0.0877927554672,0.022745916291751,0.63774586943153,0.078689653948492,0.06965956083659,0.034875321481614,0.068070484133151,0.000420438409673,0,0.828010589286273,0.564545080839034,,0.180198232595541
TCGA-DD-AACC-01,0.086731170729715,0.014237731649104,0.565500929568161,0.136198099606745,0.093615148098455,0.028023353156862,0.074972489958511,0.000721077232448,0,0.767361530477245,0.644357562468378,,0.194584050477273
TCGA-FV-A3R3-01,0.103082471342135,0.018277004251903,0.531117466886471,0.077718049289787,0.117933453165747,0.028726210195133,0.114065392863737,0.009079952005089,0,0.689272844655068,0.725616378874326,,0.239292928759785
TCGA-HP-A5N0-01,0.111617904862169,0,0.697868693320097,0.043116155141918,0.092033538456396,0.015050855665589,0.039157015950188,0.001155836603642,0,0.890628839912664,0.460590211104998,,0.203651443318565
TCGA-K7-A5RF-01,0.094820951000558,0.025948988816162,0.728218239197553,0.043413720619498,0.062311621352119,0.004459805878852,0.037039898584577,0.003786774550682,0,0.919261522234486,0.401613635426848,,0.183081561168839
