NAME	Central_venous_LSECs	Cholangiocytes	Other	Hepatocyte	Portal_endothelial_Cells	Periportal_LSECs	Hepatic_Stellate_Cells	Erythroid_Cells
C12orf57	100.270248679482	186.035426417631	150.850450222908	119.25375363011	164.00720215198	244.730448176293	408.507386216671	1
C12orf75	1	190.860839226977	84.8018575781485	1	1	1	1	1
C14orf1	1	1	1	89.2041839941173	1	1	1	1
C14orf166	153.408410170837	1	119.998914641202	1	98.2972396168709	111.134664704052	97.1975281463476	1
C17orf89	1	1	1	115.636792095709	1	1	1	1
C19orf33	1	237.002364730248	1	1	1	1	1	1
C19orf60	1	1	99.3775356079461	90.8923800718206	1	1	1	1
C19orf70	1	1	80.7240017500709	116.389199148147	68.6340017880133	1	121.541723048946	1
C1D	1	1	1	1	1	1	1	54.1497393038991
C1QA	161.254795923863	1	1412.40423046051	1	1	1	1	1
C1QB	1	1	1328.82358431971	1	1	1	1	1
C1QBP	1	1	89.5577531562687	1	1	1	1	1
C1QC	1	1	541.933717790763	1	1	1	1	1
C1QTNF1	228.704451926505	1	1	1	193.597188184383	1	1	1
C1R	1	127.427297768465	1	773.487892423138	1	1	1442.07369991069	1
C1S	1	189.339934093919	1	1573.97338536262	1	1	1100.81037863588	66.6178489251186
C1orf162	1	1	247.244593198453	1	1	1	1	1
C1orf21	1	1	1	1	81.2080360698555	1	1	1
C1orf56	1	1	128.13579318458	1	1	1	1	1
C2	1	1	1	176.317208877311	1	1	1	1
C20orf24	1	1	73.0411223256515	101.615922469442	1	1	1	1
C2orf88	111.086878086394	1	1	1	169.885969772485	1	1	1
C3	145.194176277388	1494.22573380413	177.142233679416	2578.14411896014	1	191.979236301297	390.57285027896	133.931983026246
C4BPA	1	1	1	499.946647054521	1	1	1	1
C4BPB	1	1	1	249.220035284679	1	1	1	1
C4orf48	104.073679043177	1	90.1296222168263	1	1	94.7452719084601	147.436968792155	1
C5	1	1	1	251.011176985761	1	1	1	1
C5orf24	1	1	1	1	83.2615821780025	1	1	1
C6	1	1	1	171.158297106103	1	1	1	1
C6orf48	1	1	180.93759860185	1	147.271348456839	188.149710200121	164.385197775324	1
C6orf62	125.473271149288	1	168.709759838432	53.3115825233894	1	1	1	54.6882480166497
C7	379.724525040768	1	1	1	1922.86670230896	1165.66352266764	1056.95916411149	1
C7orf73	1	1	90.9712814564141	61.1512472143375	85.375192873651	1	1	188.551646674757
C8A	1	1	1	128.744573684321	1	1	1	1
C8B	1	1	1	132.407125110542	1	1	1	1
C8G	1	1	1	510.98873053186	1	1	1	1
C8orf4	473.405520727187	115.910730166615	1	1	224.157886290224	1	1	1
C8orf59	123.627091447811	1	99.6506570201642	68.4017097964736	120.252195035167	108.801412489085	66.0353432352394	1
C9	1	1	1	1036.84371877979	1	1	1	1
C9orf142	1	1	102.357191710829	1	1	1	1	1
C9orf16	118.040179767572	1	185.735038802849	1	90.8163991202805	131.551585404507	1	1
C9orf78	1	1	1	1	1	1	1	169.627744139757
CA1	1	1	1	1	1	1	1	5762.12212901601
CA2	1	472.764202208857	1	50.6836093332544	1	1	1	1183.86568266997
CA3	1	1	1	1	1	1	1	117.838188360325
CALCOCO2	80.7488128631861	1	1	1	1	1	1	1
CALCRL	292.408510300742	1	1	1	450.880021733608	311.448575913664	1	1
CALD1	1	269.769352848353	1	288.090045655661	304.441504168733	400.784748111652	3995.65448772298	1
CALM2	1	731.478261204271	473.584718337292	248.690004549599	563.86096585882	394.804520713608	1499.87207352288	256.118508591348
CALM3	100.842111998767	1	173.586972392667	1	1	1	126.41858724553	145.969402836942
CALU	196.212679089024	1	1	1	1	1	1	1
CAMK2N1	1	1	1	79.1656094202656	1	1	1	1
CAMLG	1	1	1	1	97.9189685552538	1	1	1
CAMTA1	1	1	1	94.7981669243213	1	94.6909779160045	1	1
CAP1	199.256796703023	1	241.544748866611	1	71.7602603316092	107.412186159472	139.967574253377	1
CAPNS1	159.081277377156	1	90.4340504347568	1	131.330043963371	108.77453221021	1	1
CAPZA1	1	1	171.011961833331	1	1	1	1	1
CAPZA2	298.245415083911	1	99.8764648868144	1	312.132465774523	399.128803014534	1	76.0580333393348
CAPZB	150.461723925292	1	212.142367015315	1	89.465470657648	109.540416935766	1	1
CARD16	1	1	126.242947762832	1	1	1	1	1
CARD8	102.902632911512	1	1	1	1	1	1	1
CARHSP1	190.487993057056	186.154790519767	79.9987054987481	128.809299756322	172.841991604785	1	1	76.3759485092471
CASKIN2	95.5705935713856	1	1	1	1	1	1	1
CASP4	1	1	133.474443341618	1	1	1	1	1
CAST	112.35959007817	1	96.4207276071696	66.6506838239833	94.7221038060626	121.467232089298	1	61.7680539276584
CAT	1	1	1	204.020287097415	1	1	1	300.830867134921
CAV1	216.759861665651	1	1	1	267.884535736408	706.348327794393	353.182893362754	1
CAV2	1	1	1	1	68.3093054096392	124.217539225574	1	1
CBR1	1	1	1	117.867699983616	1	1	1	1
CCBE1	1	1	1	1	1	1	131.854621466435	1
CCDC12	1	1	77.2842412385967	1	1	1	1	1
CCDC146	1	1	1	1	1	1	111.99792969444	1
CCDC167	1	1	1	51.7888065230385	1	1	1	36.5466905658117
CCDC50	233.108656088159	1	1	1	145.134128466205	137.658103352509	1	1
CCDC85B	750.373872125905	1	132.477984863277	1	314.744241086589	430.585092667638	218.257723564791	1
CCL14	3450.48812448805	1	1	1	340.504002154924	844.109694254387	1	1
CCL16	1	1	1	105.324082336072	1	1	1	1
CCL21	1	1	1	1	1	1	314.486983462868	1
CCL23	745.079143409477	1	1	1	1	1	1	1
CCL3	1	1	890.449227817669	1	1	1	1	1
CCL3L3	1	1	228.270823574501	1	1	1	1	1
CCL4	1	1	1149.2144839254	1	1	1	1	47.8876733938727
CCL4L2	1	1	178.954233822783	1	1	1	1	1
CCL5	1	1	1480.34595148224	1	1	1	1	1
CCND1	115.060151053288	1	1	69.2128076382524	1	1	1	1
CCND3	1	1	180.78258203027	1	1	1	1	42.2713666458069
CCNDBP1	1	1	1	1	1	1	1	148.843517686639
CCNH	1	1	77.9567702547512	1	1	1	1	1
CCNL1	228.088586087854	1	177.246236873115	1	134.989217414502	105.076598587856	1	1
CCS	1	1	1	64.5957351764026	1	1	1	110.258468880175
CCT2	1	1	1	1	1	1	1	48.5838491420783
CCT4	1	1	75.4943813239374	1	1	1	1	35.2659620898188
CCT8	1	1	72.7309265166303	1	1	1	1	44.7162518021707
CCZ1	137.029004575683	1	1	1	1	1	1	1
CD14	1442.74473255778	1	194.186982968514	158.577920450065	128.356546399115	1	268.003592538623	1
CD151	309.216490160342	1	1	1	135.968394451551	261.67142147427	163.899904476949	1
CD160	1	1	102.984667096697	1	1	1	1	1
CD163	1	1	530.516289645533	1	1	1	1	1
CD164	141.298232965156	1	192.844619068357	65.8272586936484	1	1	1	1
CD2	1	1	237.092947578502	1	1	1	1	1
CD24	1	1698.19867865891	1	1	1	180.438021113921	1	1
CD247	1	1	183.720047080877	1	1	1	1	1
CD302	1	1	100.532177309969	146.673267356233	1	1	181.898396859968	1
CD320	1	1	1	1	1	219.45078495716	1	1
CD34	1	1	1	1	125.467313653773	237.994136320622	1	1
CD36	1103.07686313856	1	1	1	1	277.792810126916	1	98.2212868278709
CD37	1	1	273.327028967458	1	1	1	1	1
CD3D	1	1	282.011992443102	1	1	1	1	1
CD3E	1	1	205.926430998548	1	1	1	1	1
CD3G	1	1	98.1830105366404	1	1	1	1	1
CD4	1128.82799423403	1	1	1	1	1	1	1
CD44	1	1	232.394805768299	1	1	1	1	1
CD46	115.385793596046	1	1	1	1	1	1	1
CD47	89.9949631826719	1	90.1742920358258	1	1	1	1	1
CD48	1	1	258.392450764492	1	1	1	1	1
CD52	1	1	462.702047334016	1	1	1	1	1
CD53	1	1	297.904807748798	1	1	1	1	1
CD59	800.120847865306	594.916469568514	1	73.2463802887107	842.741910897932	834.73641565136	378.136113064962	71.6383177788111
CD63	994.446359063809	1084.30927612278	424.612008712491	178.575942238379	987.009993829583	827.845925077336	1796.31962165415	1
CD68	1	1	159.408356254047	1	1	1	1	1
CD69	1	1	337.797394966984	1	1	1	1	1
CD7	1	1	476.930550939319	1	1	1	1	1
CD9	128.484140249806	1	1	1	428.127259378909	1176.93373401475	1	1
