NAME	CD8+ Cells	Tregs	Non-immune cluster	Nk Cells	CD4+ Cells	B Cells	Myeloid	Mast Cells
C19orf60	1	249.100711771854	1	1	1	237.836833452662	149.464074887636	200.900783619616
C19orf70	1	239.6348094381	322.961473233362	1	266.806855952815	263.381025346957	339.53274677733	70.2174343908115
C1D	1	176.224426055161	1	1	1	1	1	73.6277082845067
C1QA	1	1	1	1	1	1	1455.55592689926	1
C1QB	1	1	1	1	1	1	1502.93927185211	1
C1QC	1	1	1	1	1	1	1187.80313053864	1
C1R	1	1	380.520570677347	1	1	1	1	1
C1S	1	1	402.034185539218	1	1	1	1	1
C1orf122	1	1	1	1	1	152.229203212783	1	1
C1orf162	1	1	1	1	1	1	803.051959364504	632.596709756345
C1orf186	1	1	1	1	1	1	1	1352.64477169992
C1orf52	1	1	1	1	1	1	1	287.529392246014
C1orf54	1	1	1	1	1	1	370.430161305527	1
C1orf56	1	248.305816408223	1	669.292189062413	500.798843193714	169.136139039921	329.613405548581	524.852157257815
C20orf27	1	1	1	1	1	1	155.006749702292	1
C21orf59	1	1	1	1	1	113.128365424073	1	214.337827492994
C3	1	1	522.112787651544	1	1	1	1	1
C3orf38	1	1	1	1	1	1	1	419.258882263351
C4BPB	1	1	450.510059890878	1	1	1	1	1
C5AR1	1	1	1	1	1	1	418.383765967488	1
C5orf56	1	1	1	313.918070796427	1	151.138653340022	1	1
C7orf55	1	1	1	1	1	156.15108694328	1	367.638873698396
C8G	1	1	308.876038623273	1	1	1	1	1
C8orf4	1	1	426.5323970889	1	1	1	1	1
C8orf59	203.364974893107	1	278.967183118241	1	1	283.589739841475	191.384666489182	214.337827492994
C9orf72	1	1	1	1	1	1	146.46823323969	1
CALCRL	1	1	494.959998766268	1	1	1	1	1
CALD1	1	1	1247.13590618011	1	1	1	1	1
CAPG	1	1	1	1	217.258441604282	1	607.893971563534	1289.41660437004
CAPNS1	1	1	1	1	1	1	160.733013127342	1
CASP1	1	386.932740676093	1	1	193.928555031192	1	245.336578363805	1
CASP10	1	1	1	1	1	151.984811627903	1	1
CASP3	1	1	1	1	1	146.379582756508	1	1
CASP8	1	165.202149466648	1	1	242.498967586446	1	1	1
CAT	1	1	1	1	1	1	133.752873027036	214.337827492994
CAV1	1	1	687.159023912329	1	1	155.23638770777	1	1
CAV2	1	1	330.873543190033	1	1	1	1	1
CBLB	232.862677780993	170.365615014927	1	1	1	1	1	1
CBR1	1	1	297.493349216465	1	1	1	1	208.652303172434
CCDC107	182.595627728171	294.377229641824	1	267.630474226839	312.746709603139	107.320514317222	250.22293534265	1
CCDC115	1	1	1	1	1	1	1	214.337827492994
CCDC186	1	189.809977439266	1	1	1	203.168015100572	1	1
CCDC53	1	1	1	1	1	126.333465177622	1	143.061983247517
CCDC57	1	1	1	1	1	138.602686418465	1	1
CCDC66	1	194.476792745172	1	1	1	1	1	1
CCDC82	1	1	1	1	1	1	1	532.973640499016
CCDC88A	1	1	1	1	1	1	176.528875500799	1
CCDC88C	1	1	1	1	1	148.730255962346	1	1
CCDC90B	1	1	1	1	1	1	1	334.901605874701
CCL3	332.969918303936	1	1	719.386676092405	1	175.513867646307	909.79220974947	1
CCL3L3	1	1	1	1	1	1	435.629023592026	1
CCL4	1802.7911326754	236.819996862286	1	2319.44311897853	686.917580225707	417.520691144237	977.776027251552	1
CCL4L2	500.359379152861	1	1	469.464364267051	1	1	540.274090924371	67.8754982468773
CCL5	3642.1156366575	688.340730115423	1	4079.27018615661	1935.80375764616	844.495024381961	536.385515303973	1
CCND1	1	1	326.739832074424	1	1	1	1	1
CCND2	214.193374943181	422.493908766254	1	306.363947262219	230.848876779897	159.312493970817	1	1
CCND3	341.669796961737	194.55549356221	1	322.604576358971	404.862546899835	1	1	1
CCNG1	1	1	1	1	219.074772760439	1	1	208.652303172434
CCPG1	1	1	1	1	1	369.850524225744	1	1
CCR6	1	201.089896316298	1	1	305.121593606623	1	1	1
CCR7	1	1	1	1	383.450836619404	1	1	1
CCRL2	1	1	1	1	1	1	182.169772933505	154.301046205401
CCSER2	235.44294164448	1	1	1	1	1	1	1
CCT2	1	1	1	208.222595237785	1	148.592550716949	180.510936055702	288.649947256635
CCT5	1	1	1	1	1	1	168.709584405503	1
CCT6A	1	227.696145354746	261.815658590935	1	212.810090932603	1	185.298432785395	248.741984068799
CCT7	1	198.307492414227	1	213.0299408883	1	159.255176353442	1	1
CD14	1	1	1	1	1	1	544.234327975168	1
CD151	1	1	554.104087852326	1	1	1	1	1
CD163	1	1	1	1	1	1	222.356439742333	1
CD2	1253.28834677108	1703.16678876054	1	649.081754096182	1273.7537377401	234.949770185289	1	1
CD247	286.414653448889	410.382523251084	1	810.574609976061	286.847182531467	1	1	1
CD27	504.919614061977	809.625960842173	1	1	294.50406918476	844.705460601407	1	1
CD28	1	219.997518959211	1	1	1	1	1	1
CD2BP2	1	233.103488691354	1	1	1	1	1	77.6265097809267
CD300A	1	1	1	1	1	1	151.300579554229	1
CD302	1	1	1	1	1	1	147.937637034311	1
CD320	1	189.114293347459	1	1	1	127.163914452974	1	1
CD34	1	1	275.341553029811	1	1	1	1	1
CD38	1	1	1	1	1	642.469979672474	1	1
CD3D	1876.66802625421	2018.2584862648	1	1056.12777866784	1775.79837823939	348.067342202993	169.661250408316	1
