"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"DUSP5",8.85828829266206e-215,1.88889592318169,0.507,0.053,1.7722777387129e-210,"Central_venous_LSECs","DUSP5"
"FLT4",7.49271223102956e-213,1.39057454842158,0.271,0.012,1.49906693606208e-208,"Central_venous_LSECs","FLT4"
"ANKRD55",1.65725371479879e-212,1.32608315304609,0.248,0.009,3.31566750719793e-208,"Central_venous_LSECs","ANKRD55"
"LGMN",1.99024738396306e-212,2.22164371423852,0.729,0.127,3.9818879410949e-208,"Central_venous_LSECs","LGMN"
"PCDH12",3.45355580397345e-211,1.32194046733884,0.252,0.01,6.90952909700969e-207,"Central_venous_LSECs","PCDH12"
"APP",2.69831021411463e-209,2.20013866297451,0.866,0.216,5.39850924537915e-205,"Central_venous_LSECs","APP"
"MAF",9.24500234951765e-209,2.20309502946359,0.873,0.211,1.849647620068e-204,"Central_venous_LSECs","MAF"
"NPR1",1.34624239748146e-207,1.73600485125157,0.431,0.038,2.69342716464116e-203,"Central_venous_LSECs","NPR1"
"PCDH17",5.6511664579141e-204,1.40160444051114,0.281,0.014,1.13062887323487e-199,"Central_venous_LSECs","PCDH17"
"HYAL2",3.4429238299694e-200,1.91774246217585,0.523,0.062,6.88825770661978e-196,"Central_venous_LSECs","HYAL2"
"IL6ST",1.65681235914455e-198,2.19254203345428,0.931,0.3,3.3147844869405e-194,"Central_venous_LSECs","IL6ST"
"TGFBR2",3.8439618008095e-198,2.23297167663638,0.817,0.196,7.69061437487956e-194,"Central_venous_LSECs","TGFBR2"
"ECM1",1.67897178423766e-195,1.29599981735781,0.209,0.007,3.35911884872428e-191,"Central_venous_LSECs","ECM1"
"FHL1",2.70919966431034e-192,1.67499281090976,0.395,0.034,5.4202957683857e-188,"Central_venous_LSECs","FHL1"
"TIMP2",3.66722538637467e-191,2.0098504864833,0.657,0.109,7.3370178305198e-187,"Central_venous_LSECs","TIMP2"
"LDB2",8.36424052200048e-190,1.83551491439574,0.526,0.064,1.67343360123664e-185,"Central_venous_LSECs","LDB2"
"PRCP",2.51999763709685e-188,2.08963498044199,0.781,0.179,5.04175927253967e-184,"Central_venous_LSECs","PRCP"
"NID1",2.93060929568726e-188,2.10347867978129,0.621,0.102,5.8632700178815e-184,"Central_venous_LSECs","NID1"
"EFNB2",6.11806101929895e-188,1.63553901141993,0.359,0.028,1.22404046813114e-183,"Central_venous_LSECs","EFNB2"
"DNM3OS",2.74609372569772e-186,1.35677937314956,0.252,0.012,5.49410971700343e-182,"Central_venous_LSECs","DNM3OS"
"CTC-526N19.1",9.71318752782607e-182,1.04907586122751,0.199,0.007,1.94331742869216e-177,"Central_venous_LSECs","CTC-526N19.1"
"CXCL16",4.47680408562786e-179,1.88014353735183,0.585,0.087,8.95674193411567e-175,"Central_venous_LSECs","CXCL16"
"KAZN",1.41349401518648e-178,1.14505752790023,0.186,0.006,2.82797747618359e-174,"Central_venous_LSECs","KAZN"
"ESAM",8.30627054439122e-178,1.61839004524755,0.373,0.033,1.66183554781635e-173,"Central_venous_LSECs","ESAM"
"VMO1",9.33735569476196e-176,1.66256001215358,0.363,0.031,1.86812475385103e-171,"Central_venous_LSECs","VMO1"
"PDE2A",8.11489377357162e-175,1.63644817760691,0.373,0.033,1.62354679727847e-170,"Central_venous_LSECs","PDE2A"
"PRSS23",2.03560550602143e-174,1.83108212182827,0.634,0.099,4.07263593589708e-170,"Central_venous_LSECs","PRSS23"
"OLFM1",4.81704933881434e-174,1.40287583030241,0.275,0.016,9.63747061216585e-170,"Central_venous_LSECs","OLFM1"
