"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NMT1.1",2.04620182809966e-19,-0.279982692551217,0.15,0.272,4.10815941027568e-15,"Nk Cells","NMT1"
"FGR.1",2.10432911093486e-19,0.543067614086478,0.122,0.063,4.22486155602392e-15,"Nk Cells","FGR"
"TFG.4",2.18622269139841e-19,-0.262167499956816,0.108,0.217,4.38927929752059e-15,"Nk Cells","TFG"
"CFAP36.5",2.2600120033055e-19,-0.354796376323966,0.073,0.163,4.53742609903644e-15,"Nk Cells","CFAP36"
"CXCL8.4",2.26503229647241e-19,-0.404718250179704,0.039,0.114,4.54750534162765e-15,"Nk Cells","CXCL8"
"CCNH.2",2.47133545457149e-19,0.33333398343876,0.484,0.369,4.96170019214318e-15,"Nk Cells","CCNH"
"CADM1.3",2.54999801103731e-19,-0.294638900553836,0.032,0.105,5.1196310067596e-15,"Nk Cells","CADM1"
"EPN1.2",2.70626363947343e-19,-0.289284999855636,0.048,0.128,5.43336550897081e-15,"Nk Cells","EPN1"
"PRKCSH.1",2.74762983580317e-19,-0.256466107500483,0.189,0.327,5.51641642134202e-15,"Nk Cells","PRKCSH"
"ALG8.2",2.80482724146882e-19,-0.2642181904415,0.063,0.152,5.63125165269696e-15,"Nk Cells","ALG8"
"ATP5G1.3",2.83651982266173e-19,-0.290810089260598,0.334,0.512,5.69488084795796e-15,"Nk Cells","ATP5G1"
"ESD.5",2.88053245929602e-19,-0.270551293936732,0.238,0.39,5.78324501852862e-15,"Nk Cells","ESD"
"MRPS33.3",3.15332723516985e-19,-0.274692598673013,0.172,0.302,6.33093509005051e-15,"Nk Cells","MRPS33"
"ARF3.4",3.27775779730983e-19,-0.258167573792768,0.162,0.289,6.58075432965895e-15,"Nk Cells","ARF3"
"STARD10.4",3.70181619428687e-19,-0.272517138167457,0.051,0.134,7.43213637326976e-15,"Nk Cells","STARD10"
"PAPSS1.4",3.76495226120529e-19,-0.330038967128814,0.046,0.124,7.55889465482186e-15,"Nk Cells","PAPSS1"
"ATF7IP.1",3.88748640113965e-19,0.413229522787972,0.269,0.179,7.80490644756807e-15,"Nk Cells","ATF7IP"
"APOL6",4.37366393652015e-19,0.429205687048726,0.31,0.221,8.7810050853515e-15,"Nk Cells","APOL6"
"SMUG1.3",4.69795770129198e-19,-0.261557717734315,0.058,0.143,9.4320896768839e-15,"Nk Cells","SMUG1"
"RGS3.5",5.20818771962121e-19,-0.313802971487465,0.047,0.127,1.04564784846835e-14,"Nk Cells","RGS3"
"GCA.3",5.86113248201445e-19,-0.297466311802757,0.05,0.13,1.17673956841404e-14,"Nk Cells","GCA"
"HENMT1",6.81475106220932e-19,0.413280155266287,0.12,0.059,1.36819757075977e-14,"Nk Cells","HENMT1"
"MTHFS.3",6.87509175782861e-19,-0.289681433191994,0.08,0.173,1.38031217221925e-14,"Nk Cells","MTHFS"
"RAB1A.3",7.43191205357574e-19,-0.254764733534906,0.279,0.446,1.4921049829964e-14,"Nk Cells","RAB1A"
"TMEM208.3",1.00416471251888e-18,-0.267829668651053,0.23,0.375,2.01606149332415e-14,"Nk Cells","TMEM208"
"ARL3.1",1.07279375200827e-18,-0.284643588633878,0.086,0.182,2.15384801590701e-14,"Nk Cells","ARL3"
"YBEY.1",1.09649915125971e-18,-0.314843466453515,0.088,0.183,2.20144134598412e-14,"Nk Cells","YBEY"
"ATP6AP1.2",1.10568097167353e-18,-0.266300868106947,0.117,0.224,2.21987568682894e-14,"Nk Cells","ATP6AP1"
"BRD2.2",1.12193585391126e-18,0.290873166471282,0.557,0.514,2.25251061389764e-14,"Nk Cells","BRD2"
"TMC8",1.15192414127455e-18,0.303901330729566,0.105,0.048,2.31271809843691e-14,"Nk Cells","TMC8"
"CHP1.3",1.15297135757331e-18,-0.250444564924279,0.124,0.237,2.31482059459993e-14,"Nk Cells","CHP1"
"CDCA4",1.17707493154781e-18,0.381267523343524,0.134,0.07,2.36321334006854e-14,"Nk Cells","CDCA4"
"AURKB.1",1.22782342645354e-18,0.45275084865346,0.104,0.05,2.46510109329077e-14,"Nk Cells","AURKB"
"AIMP2.3",1.27087388973962e-18,-0.258352751298395,0.048,0.127,2.55153350843023e-14,"Nk Cells","AIMP2"
"EBNA1BP2.4",1.36438633400071e-18,-0.260902858261817,0.112,0.219,2.73927844277322e-14,"Nk Cells","EBNA1BP2"
"GPS1.1",1.45136892076982e-18,-0.259683446105129,0.117,0.225,2.91391338222958e-14,"Nk Cells","GPS1"
"NSFL1C.3",1.56097719603024e-18,-0.262165307875744,0.123,0.233,3.13397391646992e-14,"Nk Cells","NSFL1C"
"TRAPPC1.2",1.67215621856612e-18,0.255633802951282,0.597,0.57,3.35718804001521e-14,"Nk Cells","TRAPPC1"
"MPLKIP.2",1.92472853063419e-18,-0.251738981571375,0.188,0.323,3.86427747095426e-14,"Nk Cells","MPLKIP"
"PTRH2.1",1.96334487803421e-18,-0.274139415272928,0.038,0.111,3.94180751162928e-14,"Nk Cells","PTRH2"
"SRSF2.4",2.09828396042765e-18,0.334250205448665,0.492,0.419,4.21272470735058e-14,"Nk Cells","SRSF2"
"HCCS.2",2.14990466776718e-18,-0.255592321262152,0.05,0.13,4.31636360147617e-14,"Nk Cells","HCCS"
"THOC7.2",2.52299437930823e-18,-0.250922219765483,0.193,0.326,5.06541581533714e-14,"Nk Cells","THOC7"
"RNF213.5",2.56039298053467e-18,0.303408956176101,0.545,0.481,5.14050098701946e-14,"Nk Cells","RNF213"
"RAB5C.2",2.70351851965058e-18,-0.264251924747065,0.32,0.492,5.42785413190247e-14,"Nk Cells","RAB5C"
"CANX.3",2.73762327984252e-18,-0.254930801891699,0.292,0.458,5.49632625893983e-14,"Nk Cells","CANX"
"FLYWCH2.2",2.77981170694357e-18,-0.264079875925506,0.094,0.193,5.58102796403061e-14,"Nk Cells","FLYWCH2"
"JMJD6.2",2.78798786764814e-18,0.413326946669756,0.333,0.244,5.59744324187716e-14,"Nk Cells","JMJD6"
"MYDGF.4",3.2799184181341e-18,-0.267437017998173,0.284,0.444,6.58509220808782e-14,"Nk Cells","MYDGF"
"HACD2.3",3.41620757105062e-18,-0.260564807331747,0.056,0.138,6.85871994039834e-14,"Nk Cells","HACD2"
"CAP1.3",3.47135440834183e-18,0.254767030229579,0.604,0.556,6.96943824562789e-14,"Nk Cells","CAP1"
