"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AL645922.1.4",0.000167263211699645,-0.577900719665075,0.053,0.115,1,"LSEC","AL645922.1"
"GRN.4",0.000178992141298071,-0.476440370019161,0.168,0.257,1,"LSEC","GRN"
"AC010422.5",0.000181932390578393,-0.331449727691469,0.053,0.116,1,"LSEC","AC010422.5"
"TJP1.1",0.000194530901901808,0.795893924474175,0.101,0.058,1,"LSEC","TJP1"
"YBX1.3",0.00019893877394574,-0.334788153228179,0.296,0.416,1,"LSEC","YBX1"
"PARK7.2",0.000199744134627965,-0.292753422422285,0.078,0.151,1,"LSEC","PARK7"
"RPL22.1",0.000207589432581393,-0.291879832360467,0.349,0.48,1,"LSEC","RPL22"
"STAT1.2",0.000216592456041331,-0.534993819984637,0.048,0.107,1,"LSEC","STAT1"
"PRDX5.3",0.000216723519106205,-0.26868630203874,0.055,0.119,1,"LSEC","PRDX5"
"PECAM1.1",0.000219635993450947,0.284109482880074,0.211,0.142,1,"LSEC","PECAM1"
"EIF3M.1",0.00023069838280533,-0.423630132791897,0.058,0.121,1,"LSEC","EIF3M"
"ISCU.2",0.00023704576136123,-0.271660830901256,0.055,0.118,1,"LSEC","ISCU"
"BTF3.1",0.000240323366884591,-0.263924683227404,0.249,0.357,1,"LSEC","BTF3"
"NONO.4",0.000243311365156162,-0.280132078059052,0.088,0.162,1,"LSEC","NONO"
"CCT8.2",0.000245319451003686,-0.314475777931906,0.043,0.1,1,"LSEC","CCT8"
"ITM2B.3",0.000263277628472481,0.454362602666612,0.5,0.455,1,"LSEC","ITM2B"
"DAP.1",0.000264754070223167,-0.267068387745098,0.045,0.104,1,"LSEC","DAP"
"PLPP1.4",0.000275074835971131,0.455388818468598,0.156,0.101,1,"LSEC","PLPP1"
"HSPA9.1",0.000297304330002012,-0.2952131392638,0.068,0.133,1,"LSEC","HSPA9"
"ERRFI1.4",0.000312830599709896,-0.255767058771045,0.06,0.124,1,"LSEC","ERRFI1"
"ATF3.2",0.000338727087157326,-0.498864269069393,0.085,0.153,1,"LSEC","ATF3"
"SF3B5.1",0.000351037425368691,-0.27147114309914,0.045,0.103,1,"LSEC","SF3B5"
"ATP5C1.3",0.000365237836854097,-0.28315001176708,0.108,0.186,1,"LSEC","ATP5C1"
"CRK.1",0.000372196992890768,0.657312901238744,0.118,0.073,1,"LSEC","CRK"
"C19orf53.1",0.00037799743429097,-0.322333242126453,0.053,0.112,1,"LSEC","C19orf53"
"NDUFC1.3",0.000378554836235767,-0.317709008173496,0.075,0.143,1,"LSEC","NDUFC1"
"SUB1.3",0.000397903579855265,-0.344724807424044,0.126,0.205,1,"LSEC","SUB1"
"ROCK1.1",0.000403551542659508,-0.55083881612836,0.06,0.12,1,"LSEC","ROCK1"
"ACTR3",0.000416640978490362,-0.386123097276793,0.083,0.15,1,"LSEC","ACTR3"
"FTL.4",0.000419556042642147,-1.32424994707838,0.796,0.783,1,"LSEC","FTL"
"ATP5H.1",0.000434657516712536,-0.252252774346285,0.123,0.205,1,"LSEC","ATP5H"
"GDI2",0.000498566029253843,-0.397579242650577,0.118,0.194,1,"LSEC","GDI2"
"JUNB.2",0.000512425430710229,-0.44463948598721,0.221,0.311,1,"LSEC","JUNB"
"TRAM1.3",0.000512892962569399,-0.303572789102219,0.116,0.192,1,"LSEC","TRAM1"
"CCT2.2",0.000529091879635591,-0.34148263132238,0.05,0.106,1,"LSEC","CCT2"
"HCLS1.3",0.000552612507869785,-0.538353924825468,0.058,0.114,1,"LSEC","HCLS1"
"COX6C.3",0.000553079227068305,-0.287885781186998,0.173,0.264,1,"LSEC","COX6C"
"PARP4",0.000558596903478999,0.735171853324998,0.111,0.068,1,"LSEC","PARP4"
"CREG1.3",0.000605376599229647,-0.36931416346425,0.106,0.177,1,"LSEC","CREG1"
"H2AFZ.3",0.000606742000627319,-0.295735518139614,0.083,0.15,1,"LSEC","H2AFZ"
"CCT5",0.000649459736361566,-0.297060299368126,0.053,0.108,1,"LSEC","CCT5"
"RHOC.4",0.000666993656115954,0.53970123623197,0.209,0.154,1,"LSEC","RHOC"
"MYL6.4",0.00067075848283993,0.360417552136648,0.523,0.49,1,"LSEC","MYL6"
"APRT",0.000691729228804051,-0.277001356115327,0.058,0.116,1,"LSEC","APRT"
"PSMD8",0.000707893255795526,-0.474610990334385,0.063,0.121,1,"LSEC","PSMD8"
"PRELID1.1",0.000715953442115158,-0.292648010811166,0.073,0.135,1,"LSEC","PRELID1"
"FGA.4",0.00072449524632781,-1.11520981588348,0.053,0.105,1,"LSEC","FGA"
"CMTM3.1",0.000737441885658484,0.423748412655001,0.106,0.063,1,"LSEC","CMTM3"
"NDUFB1.1",0.000749364713599699,-0.397717004228845,0.053,0.107,1,"LSEC","NDUFB1"
"GRB2.4",0.000769089382180851,-0.432984421031119,0.07,0.13,1,"LSEC","GRB2"
"XRCC5.1",0.000785685285341801,-0.288291861154752,0.111,0.183,1,"LSEC","XRCC5"
"SELENOK",0.000855580102832491,-0.34793470804037,0.06,0.117,1,"LSEC","SELENOK"
"CCPG1",0.000885707569089623,0.563018409497421,0.126,0.082,1,"LSEC","CCPG1"
"GNAI2.4",0.00089198457116999,0.392950251157679,0.362,0.303,1,"LSEC","GNAI2"
"SNX2.1",0.000942803798715676,0.654362197881452,0.111,0.07,1,"LSEC","SNX2"
"CD59.4",0.00099427746815322,0.556011131639358,0.327,0.274,1,"LSEC","CD59"
"CTSB.3",0.00108163325638973,-0.83372901225897,0.372,0.448,1,"LSEC","CTSB"
"SPTLC2",0.00110957591437134,0.517134889302394,0.111,0.069,1,"LSEC","SPTLC2"
"SERPINH1.1",0.00116386131653124,0.470832179624441,0.133,0.087,1,"LSEC","SERPINH1"
"SLC38A2.4",0.00121633992050508,0.766295344707966,0.193,0.146,1,"LSEC","SLC38A2"
"APOC1.3",0.00126597946742945,-1.56229715738089,0.153,0.209,1,"LSEC","APOC1"
"CSNK1A1.2",0.00126604862954978,0.685755198632096,0.224,0.175,1,"LSEC","CSNK1A1"
"CHST12.1",0.00129118484232696,0.376135644041857,0.136,0.09,1,"LSEC","CHST12"
"MYO1C.4",0.00134033495497879,0.704268519178849,0.141,0.097,1,"LSEC","MYO1C"
"CFLAR",0.00145103645944079,0.631048103982329,0.198,0.148,1,"LSEC","CFLAR"
"NPC2.4",0.00149588606971941,-0.359108900557346,0.209,0.288,1,"LSEC","NPC2"
"LEPROT.2",0.00155540951235545,0.743112264892424,0.168,0.124,1,"LSEC","LEPROT"
"TCF4.4",0.00158592611204275,0.697875497789575,0.156,0.108,1,"LSEC","TCF4"
"NPIPB5.2",0.00169728661829726,-0.530849775438832,0.075,0.131,1,"LSEC","NPIPB5"
"TNFRSF1A.1",0.0017548287258737,0.46779877756047,0.141,0.096,1,"LSEC","TNFRSF1A"
"CMTM6.2",0.00176127855039708,-0.312126855292488,0.085,0.144,1,"LSEC","CMTM6"
"MOB1A.1",0.00177373532702906,-0.377338755126677,0.068,0.122,1,"LSEC","MOB1A"
"CTGF.3",0.00185584928658367,-1.09831169764706,0.078,0.129,1,"LSEC","CTGF"
"UTRN.3",0.00185852321952353,0.566827224982077,0.173,0.126,1,"LSEC","UTRN"
"NFIB.4",0.00186644461911894,0.783299473439554,0.136,0.095,1,"LSEC","NFIB"
"KLF9.4",0.00188480658330318,0.490040378204131,0.166,0.119,1,"LSEC","KLF9"
"UFC1",0.00195609652933628,-0.272151476097346,0.058,0.109,1,"LSEC","UFC1"
"PSMC2.1",0.00197536460686291,-0.265307230790267,0.058,0.109,1,"LSEC","PSMC2"
"COL18A1.4",0.00201784977898681,-0.615164937799454,0.073,0.126,1,"LSEC","COL18A1"
"LAMP1.1",0.00202848272176865,0.602966716427264,0.221,0.174,1,"LSEC","LAMP1"
"CCT6A.1",0.00227903886463944,-0.261118626133854,0.063,0.115,1,"LSEC","CCT6A"
"HEBP1",0.002396213884335,0.708426308212685,0.103,0.067,1,"LSEC","HEBP1"
"FGL2.4",0.00239953183999848,-0.490083231219759,0.063,0.112,1,"LSEC","FGL2"
"IL32.4",0.00256396337548456,-0.333813635169814,0.09,0.15,1,"LSEC","IL32"
"MT1X.3",0.00264978431168416,-0.608189539566184,0.055,0.102,1,"LSEC","MT1X"
"TSC22D3.1",0.00275119932748018,-0.390865350405069,0.183,0.253,1,"LSEC","TSC22D3"
"PNRC2.1",0.00289707919272936,0.584108735169424,0.126,0.086,1,"LSEC","PNRC2"
"GATM.3",0.00296061514886245,-0.252914904760088,0.058,0.106,1,"LSEC","GATM"
"CLTA.1",0.00296327613259878,0.498808734006957,0.176,0.132,1,"LSEC","CLTA"
"SERPINB6.2",0.0031792658493884,0.667495651408102,0.138,0.098,1,"LSEC","SERPINB6"
"ANXA5.1",0.00323108830780967,-0.256479797774513,0.201,0.281,1,"LSEC","ANXA5"
"RSL1D1",0.00334524573268394,-0.2557723827439,0.083,0.137,1,"LSEC","RSL1D1"
"SEC62.4",0.00341643407533174,0.7927661071837,0.246,0.207,1,"LSEC","SEC62"
"VCP.1",0.00359642156195162,0.531850613337704,0.153,0.112,1,"LSEC","VCP"
"NFIA",0.00382871896237965,0.653003938282488,0.118,0.081,1,"LSEC","NFIA"
"LIPA.3",0.00425008459519949,-0.587019662075126,0.088,0.139,1,"LSEC","LIPA"
"AKAP9.1",0.00433320233123948,-0.252639687908983,0.088,0.142,1,"LSEC","AKAP9"
"SERINC1.1",0.00436523718799227,0.656727374158657,0.156,0.116,1,"LSEC","SERINC1"
"LIMA1.1",0.00490122396347302,0.637623457841156,0.108,0.073,1,"LSEC","LIMA1"
"KMT2E.1",0.00517292968106641,-0.288602518676111,0.06,0.106,1,"LSEC","KMT2E"
"IFI16.2",0.00588439729559131,0.452600497999023,0.178,0.135,1,"LSEC","IFI16"
"SPAG9.1",0.00588465868860158,0.614830842658762,0.108,0.074,1,"LSEC","SPAG9"
"KLF2.2",0.00656431487930914,0.357106792066843,0.146,0.104,1,"LSEC","KLF2"
"SRI.3",0.00695272314809661,-0.322695811261579,0.058,0.1,1,"LSEC","SRI"
"YWHAG.1",0.00712813943876011,-0.774511714267489,0.256,0.322,1,"LSEC","YWHAG"
"SPTBN1.4",0.0071312427776389,0.536893298130872,0.244,0.201,1,"LSEC","SPTBN1"
"ASAH1.3",0.00718310411207472,-0.272527855413007,0.101,0.153,1,"LSEC","ASAH1"
"POLR2L.1",0.0073195089105917,0.650295273018273,0.206,0.169,1,"LSEC","POLR2L"
"CALCOCO2.2",0.00762516485432785,0.677323927033789,0.133,0.098,1,"LSEC","CALCOCO2"
"ITGA1.4",0.00781243628914854,0.264893848573533,0.133,0.094,1,"LSEC","ITGA1"
"PHC2.2",0.00828713134377467,0.494858197660111,0.153,0.115,1,"LSEC","PHC2"
"PDIA3.1",0.00849801792491566,0.635362465104841,0.224,0.189,1,"LSEC","PDIA3"
"NDRG1.2",0.00877539605883941,-0.306623511676662,0.073,0.118,1,"LSEC","NDRG1"
"S100A13.1",0.00897502583199652,0.561768859215339,0.101,0.069,1,"LSEC","S100A13"
"TRIOBP.1",0.00937884317213479,0.40627828938544,0.116,0.081,1,"LSEC","TRIOBP"
"SAMHD1.4",0.00984220374973901,-0.36107701362098,0.121,0.173,1,"LSEC","SAMHD1"
"APOA2.4",0,6.05937660619106,0.841,0.06,0,"Hepatocytes","APOA2"
"HP.4",0,5.94210774776388,0.862,0.111,0,"Hepatocytes","HP"
"ORM1",0,5.72280379068887,0.885,0.047,0,"Hepatocytes","ORM1"
"FGB.1",0,5.50171031951044,0.89,0.048,0,"Hepatocytes","FGB"
"APOC3.3",0,5.47742780237031,0.844,0.068,0,"Hepatocytes","APOC3"
"TTR.1",0,5.46368301498142,0.844,0.056,0,"Hepatocytes","TTR"
"CYP2E1",0,5.34682063769239,0.775,0.027,0,"Hepatocytes","CYP2E1"
"APOA1",0,5.20883379485266,0.831,0.047,0,"Hepatocytes","APOA1"
"RBP4.3",0,5.20520864295165,0.864,0.064,0,"Hepatocytes","RBP4"
"ALDOB.3",0,5.20001084305935,0.857,0.059,0,"Hepatocytes","ALDOB"
"APOH.3",0,5.17646444620669,0.854,0.07,0,"Hepatocytes","APOH"
"TF",0,5.1021962832236,0.831,0.043,0,"Hepatocytes","TF"
"APOC4-APOC2",0,4.75329580060454,0.867,0.055,0,"Hepatocytes","APOC4-APOC2"
"FGA.5",0,4.72610645219462,0.877,0.062,0,"Hepatocytes","FGA"
"FGG.4",0,4.72242235927222,0.903,0.097,0,"Hepatocytes","FGG"
"CYP3A4",0,4.64841461395757,0.706,0.015,0,"Hepatocytes","CYP3A4"
"ADH1B.2",0,4.62020510994689,0.834,0.071,0,"Hepatocytes","ADH1B"
"AMBP.5",0,4.39719728270328,0.887,0.082,0,"Hepatocytes","AMBP"
"HPR",0,4.39146384003907,0.78,0.008,0,"Hepatocytes","HPR"
"SERPINC1",0,4.10663309523827,0.793,0.013,0,"Hepatocytes","SERPINC1"
"AHSG",0,4.08888085808232,0.803,0.027,0,"Hepatocytes","AHSG"
"GSTA1",0,4.07423683281688,0.793,0.012,0,"Hepatocytes","GSTA1"
"ORM2",0,4.05575594630337,0.808,0.011,0,"Hepatocytes","ORM2"
"ADH4",0,3.99332871229792,0.772,0.016,0,"Hepatocytes","ADH4"
"FABP1.1",0,3.91521294838611,0.821,0.057,0,"Hepatocytes","FABP1"
"HRG",0,3.87106874980617,0.783,0.012,0,"Hepatocytes","HRG"
"KNG1",0,3.85166825661975,0.801,0.015,0,"Hepatocytes","KNG1"
"APOC1.4",0,3.84152905253287,0.862,0.172,0,"Hepatocytes","APOC1"
"GC.5",0,3.835316669495,0.885,0.096,0,"Hepatocytes","GC"
"HPX",0,3.81472545940917,0.79,0.018,0,"Hepatocytes","HPX"
"ADH1A",0,3.80764613388302,0.793,0.014,0,"Hepatocytes","ADH1A"
"APOB.2",0,3.76525573766407,0.831,0.057,0,"Hepatocytes","APOB"
"MT1G",0,3.59113601856248,0.775,0.026,0,"Hepatocytes","MT1G"
"SULT2A1",0,3.56096276169286,0.77,0.009,0,"Hepatocytes","SULT2A1"
"BX248415.1.4",0,3.49316384419182,0.824,0.061,0,"Hepatocytes","BX248415.1"
"MGST1",0,3.45988896511995,0.811,0.026,0,"Hepatocytes","MGST1"
"TAT",0,3.40992162103858,0.77,0.012,0,"Hepatocytes","TAT"
"AL049839.2.2",0,3.29561098060355,0.811,0.056,0,"Hepatocytes","AL049839.2"
"CP",0,3.22450201645897,0.716,0.011,0,"Hepatocytes","CP"
"GSTA2",0,3.16377522652932,0.701,0.005,0,"Hepatocytes","GSTA2"
"AGXT",0,3.03609250728424,0.737,0.009,0,"Hepatocytes","AGXT"
"IGFBP1",0,3.02505834354892,0.749,0.022,0,"Hepatocytes","IGFBP1"
"CYP2C8",0,3.01982926081697,0.747,0.019,0,"Hepatocytes","CYP2C8"
"FGL1",0,2.98559267219061,0.765,0.025,0,"Hepatocytes","FGL1"
"CPS1",0,2.9776201039464,0.744,0.01,0,"Hepatocytes","CPS1"
