Mixture,Immune cluster,Hepatocytes,Fibroblasts,Endothelial Cells,Bi-Potent Cells,P-value,Correlation,RMSE
GSM2053459,0.602058381653515,0.00793796098429207,0.0964114615193363,0.230409999724916,0.06318219611794,0,0.445796624921019,0.949214895509405
GSM2053489,0.305747791548231,0.4165106287988,0.0660311158453778,0.183167818104376,0.0285426457032154,0,0.902916039600147,0.430428807902058
GSM2053439,0.200312378561288,0.434644090294394,0.114018016734882,0.225655379181826,0.0253701352276103,0,0.897568261143944,0.442216117909467
GSM2053457,0.311688181101057,0.249127308038139,0.14997009541232,0.238378248623859,0.050836166824624,0,0.935581518902033,0.515311570129693
GSM2053492,0.249947530750117,0.370660924258773,0.112865234920211,0.213579780513996,0.052946529556903,0,0.873582846266063,0.491757346424555
GSM2053491,0.288708300142648,0.173990413848883,0.175204328536604,0.31101880362637,0.0510781538454947,0,0.699216890452353,0.76960071935853
GSM2053451,0.12552978293213,0.56490838652874,0.0938500826910246,0.213590648603274,0.00212109924483099,0,0.931427996951563,0.440765842050437
GSM2053471,0.329371945775994,0.190233487775379,0.169433753163258,0.255486985646101,0.0554738276392681,0,0.803062557280553,0.694357397313676
GSM2053443,0.149868817216187,0.62659737362742,0.0714120906559498,0.152121718500444,0,0,0.944258815432068,0.488276197101388
GSM2053483,0.163195510634917,0.568446342148827,0.0978806506469711,0.170477496569285,0,0,0.936654994604132,0.430344073681636
GSM2053450,0.111719218320684,0.652142168864152,0.0683390917790108,0.167689656044435,0.000109864991717887,0,0.94861094054972,0.516611474632549
GSM2053472,0.263876697300688,0.358692671362774,0.0723783467138511,0.233745938740345,0.0713063458823416,0,0.838865143825416,0.546784139716396
GSM2053441,0.221400957521804,0.439265933866175,0.104351576755951,0.213809253637703,0.0211722782183669,0,0.913305807627235,0.408312881195421
GSM2053462,0.451254443255036,0.114158759654988,0.148462784378815,0.206475085653497,0.0796489270576635,0,0.683975528707985,0.820233616210789
GSM2053470,0.290375244473602,0.242997212290719,0.134750535624427,0.24872924725898,0.0831477603522729,0,0.898786581297919,0.552620701946446
GSM2053467,0.281205409480432,0.413906506907833,0.0602112982941244,0.213355816514541,0.03132096880307,0,0.920259778514877,0.393598052273979
GSM2053458,0.328362094213169,0.246622451910582,0.122660687426179,0.239057965955067,0.063296800495003,0,0.845432217657118,0.605470196919366
GSM2053475,0.316013250310739,0.425749727518564,0.0503816379085272,0.156790736972501,0.0510646472896692,0,0.887403603406548,0.462141249358888
GSM2053461,0.353898330613441,0.208320539451138,0.14288064596102,0.228948741433111,0.0659517425412893,0,0.790860868929958,0.683836170813888
GSM2053447,0.0429040800934489,0.738470036346672,0.0665593133703854,0.152066570189494,0,0,0.909959066537388,0.748341059510891
GSM2053482,0.271683511386773,0.345074805985176,0.0864245107135692,0.219707583859795,0.0771095880546868,0,0.874374554182741,0.497922916733206
GSM2053442,0.26177099559942,0.409846210038008,0.10609710112058,0.218095578026736,0.00419011521525616,0,0.834373856666193,0.551986820267844
GSM2053494,0.346789434697759,0.0614946900350352,0.202917252114699,0.307583203481107,0.0812154196713998,0,0.560750323060796,0.893877870997766
GSM2053453,0.0604065533809749,0.703498343512508,0.0605862786480059,0.175508824458512,0,0,0.894576537388489,0.721392856122769
GSM2053452,0.111256868871697,0.64402587273289,0.087391406609921,0.157325851785492,0,0,0.93845946786843,0.530125513445526
GSM2053469,0.305962978710442,0.412204228486847,0.060277839360785,0.193037271873291,0.0285176815686348,0,0.866484997891893,0.499453621680796
GSM2053445,0.16976506088598,0.533548860290119,0.107608601930917,0.188297050880862,0.000780426012122094,0,0.940218895282065,0.383525867170142
GSM2053446,0.152478231833456,0.546850943673726,0.111102478624058,0.188146118994775,0.0014222268739848,0,0.927775170448694,0.431014369733096
GSM2053480,0.327341599435578,0.0652420153373171,0.131443399439784,0.29511542985172,0.1808575559356,0,0.814623714662774,0.791820866505857
GSM2053477,0.368547176380592,0.25197242340409,0.0950808480624901,0.220326619889771,0.0640729322630568,0,0.805733061368137,0.637212682885803
GSM2053468,0.421159130385759,0.222145908017175,0.100901906480654,0.198344668141801,0.0574483869746121,0,0.890369196523004,0.59431869287362
