Mixture,LVECt,Other,LSEC,Hepatocytes,LVEC,Carcinoma,P-value,Correlation,RMSE
TCGA-CC-A9FW-01,0.0680242510702838,0.337331692577023,0.0389672888658146,0.106639433396668,0.0995421823515614,0.349495151738649,0,0.76737667943851,0.794771131989797
TCGA-BC-A10Y-01,0.00813670828520673,0.202211710869243,0.0684430231923692,0.199158453201393,0.137593051065646,0.384457053386142,0,0.697325085018672,0.744410760489483
TCGA-KR-A7K7-01,0,0.383737705940515,0.0170325780158694,0.113062871078512,0.150660275886082,0.335506569079021,0,0.8450066625613,0.75312841314083
TCGA-ED-A459-01,0.0116284449708183,0.382787614028112,0.0874843499854672,0.0990691783084091,0.0915177820918974,0.327512630615296,0,0.770867216282162,0.799882836925436
TCGA-PD-A5DF-01,0.0400069307013255,0.298847009208404,0.0738679849960198,0.135966014773737,0.0857040770971257,0.365607983223388,0,0.753434568104457,0.766752631473703
TCGA-ED-A5KG-01,0.169361666063435,0.455125249654964,0,0.021240832194033,0.0962458417572409,0.258026410330327,0,0.658028456139219,0.896491901874928
TCGA-DD-AAVX-01,0,0.413584083186724,0.0598739713138476,0.17178966168463,0.158103537561045,0.196648746253753,0,0.788048164005384,0.705292917763471
TCGA-ED-A7PY-01,0.0600450384419513,0.239961073729913,0.041916735098012,0.176628507352971,0.0750987355232506,0.406349909853902,0,0.674786742709593,0.772051582255632
TCGA-RC-A7SF-01,0.0111157640125425,0.298069622727959,0.0498479116535322,0.198163972797981,0.103133981190582,0.339668747617404,0,0.779548701322872,0.686680263224176
TCGA-DD-AAW0-01,0.0302917869489403,0.304434327034192,0.0606066722453147,0.153926968415563,0.122964424001083,0.327775821354907,0,0.697019228835871,0.776821897515828
TCGA-ED-A66X-01,0.16152779199875,0.443100442594248,0.0374189997908325,0.0535952129377818,0,0.304357552678387,0,0.721988411258032,0.858970287007856
TCGA-DD-AAC8-01,0,0.358610538774217,0.0179085752187802,0.0595984020021325,0.210589368840243,0.353293115164628,0,0.782565395520039,0.848589814788615
TCGA-FV-A3I1-01,0.0338417923274108,0.37751347221319,0.0789709867830335,0.115909273129833,0.0466365677438799,0.347127907802652,0,0.829519018812703,0.754258004714356
TCGA-RC-A7S9-01,0,0.0984032963768372,0.108374903965897,0.184166366955098,0.109631604842318,0.499423827859851,0,0.688424595913505,0.760040324014886
TCGA-ZP-A9D2-01,0.0405649391421299,0.24564922818462,0.0676006498477357,0.0133427221552224,0.132395720216002,0.50044674045429,0,0.698885316023973,0.913701273525612
TCGA-G3-A5SL-01,0.00537787738023796,0.248742459174338,0.0469868401439884,0.213964428697229,0.154591336681748,0.330337057922458,0,0.804417992290397,0.654100080183465
TCGA-DD-A3A2-11,0,0.142643429774483,0.076196567636812,0.39846451976371,0.232777406458485,0.14991807636651,0,0.921284139125464,0.399867142475418
TCGA-CC-A3M9-01,0.0951870907880086,0.785915687243587,0.00789634130198992,0,0.104504915771335,0.00649596489507914,0,0.624642595631864,0.871878701600994
TCGA-BC-A216-01,0,0.210295943642212,0.0630194310918559,0.19001816284717,0.172639995543652,0.36402646687511,0,0.813682608093481,0.672990006145596
TCGA-ED-A7XP-01,0.0204950409437726,0.39796471880951,0.0505593552064694,0.101447481390853,0.116890975740341,0.312642427909053,0,0.762488395202836,0.799725241779048
TCGA-BC-A10T-11,0,0.130525694613899,0.0793591394836479,0.361101010491563,0.199260147966335,0.229754007444555,0,0.878148223621347,0.483951606148734
TCGA-DD-A11A-01,0.00432078152637523,0.277714123497316,0.0576357039718771,0.170499767639314,0.142680605465727,0.347149017899391,0,0.790929086328488,0.708557748837174
TCGA-DD-A73B-01,0,0.0670355476163897,0.0164034123766622,0.298696990225552,0.287697237074208,0.330166812707188,0,0.786058960840459,0.623348943823892
TCGA-DD-AACA-02,0,0.372750603237226,0.029962101723055,0.151162499094095,0.164221402446556,0.281903393499068,0,0.667386857895512,0.792756094063713
