,Hepatocyte
GSM363260,0.1460030614753659
GSM363261,0.20453939200629523
GSM363262,0.17843921427044218
GSM363263,0.040885089513389206
GSM363264,0.09002930146924704
GSM363265,0.04812704846586491
GSM363266,0.07433672149560255
GSM363267,0.1423922045456405
GSM363268,0.04348915317070556
GSM363269,0.14385391439753714
GSM363270,0.09353893555198212
GSM363271,0.007951106376239636
GSM363272,0.1370722293466481
GSM363273,0.12894881870139951
GSM363274,0.04661140207715875
GSM363275,0.17947515282399196
GSM363276,0.22137485232884357
GSM363277,0.2021590102065689
GSM363278,0.19892705570706815
GSM363279,0.20523194905039288
GSM363280,0.18539136746933715
GSM363281,0.18382984586128637
GSM363282,0.15848120804452404
GSM363283,0.20672568556390125
GSM363284,0.20185877073518355
GSM363285,0.10119322898848448
GSM363286,0.17251172090885447
GSM363287,0.13570863564595448
GSM363288,0.09893053231406601
GSM363289,0.09264722739827846
GSM363290,0.07642320539950576
GSM363291,0.10511977350271107
GSM363292,0.052724229872066264
GSM363293,0.11552861874163456
GSM363294,0.05108448115507791
GSM363295,0.12019758122431057
GSM363296,0.04932559469900144
GSM363297,0.03127091136618998
GSM363298,0.03213822883421047
GSM363299,0.1757859007426359
GSM363300,0.192468774477504
GSM363301,0.2260648231106661
GSM363302,0.2082535680345039
GSM363303,0.21226338249280818
GSM363304,0.17786374937279326
GSM363305,0.17838286863536146
GSM363306,0.2124951502028538
GSM363307,0.14204118309001101
GSM363308,0.249658466198329
GSM363309,0.05119304319135254
GSM363310,0.06656362884564404
GSM363311,0.09509668343106936
GSM363312,0.1573857014115515
GSM363313,0.16498492977165657
GSM363314,0.07106967453882562
GSM363315,0.08040191629791849
GSM363316,0.07531300743002145
GSM363317,0.027362955627275976
GSM363318,0.20619555269761247
GSM363319,0.18838295652611425
GSM363320,0.198074858093917
GSM363321,0.2133126754678636
GSM363322,0.22130078106406947
GSM363323,0.2221795975203571
GSM363324,0.2411377675565587
GSM363325,0.21479414372290173
GSM363326,0.07321231154427199
GSM363327,0.16214403932593324
GSM363328,0.06688100230098082
GSM363329,0.0766543708304428
GSM363330,0.0356771542152281
GSM363331,0.06662320659341714
GSM363332,0.04707612914249082
GSM363333,0.036312704204479296
GSM363334,0.1297279301513672
GSM363335,0.15709205538406557
GSM363336,0.10634391607228666
GSM363337,0.03231309933187543
GSM363338,0.16602617719269874
GSM363339,0.040509834181706394
GSM363340,0.10531231728722912
GSM363341,0.05800540768518525
GSM363342,0.16675953356069217
GSM363343,0.07913870465035211
GSM363344,0.08218543105612852
GSM363345,0.18586358127145441
GSM363346,0.06303721330967771
GSM363347,0.08794424474011997
GSM363348,0.029446861648869005
GSM363349,0.14906013667138962
GSM363350,0.02687617553200128
GSM363351,0.1466316732672438
GSM363352,0.047950235937474606
GSM363353,0.12252182234465359
GSM363354,0.018583190856478637
GSM363355,0.07582412383539872
GSM363356,0.1799263594679743
GSM363357,0.04628282411801077
GSM363358,0.08451291036386865
GSM363359,0.17384793603360071
GSM363360,0.06548356678377354
GSM363361,0.14944028585998193
GSM363362,0.06751397379415658
GSM363363,0.16800639927767103
GSM363364,0.11061040465362515
GSM363365,0.18405920033816248
GSM363366,0.11697194485356754
GSM363367,0.1599011231740376
GSM363368,0.07888347045429556
GSM363369,0.1184339383340407
GSM363370,0.22106960485970562
GSM363371,0.08424489383597966
GSM363372,0.12279567353542142
GSM363373,0.18255551960567928
GSM363374,0.14621585375222323
GSM363375,0.12510808926883477
GSM363376,0.07048300713546385
GSM363378,0.08367952658663724
GSM363380,0.14753680859054674
GSM363381,0.17915353600384543
GSM363382,0.1725247353295668
GSM363384,0.038896214436055954
GSM363386,0.02994550696666587
GSM363388,0.031682262734493705
GSM363391,0.09022052510659417
GSM363393,0.023851154024219445
GSM363397,0.1772705044059668
GSM363400,0.06411919874797567
GSM363402,0.18208134625780414
GSM363404,0.11008192003585993
GSM363407,0.155460522600411
GSM363417,0.2312892587783667
GSM363420,0.027311541352631363
GSM363421,0.14277691537436843
GSM363422,0.04752343095819811
GSM363423,0.1614162695466479
GSM363424,0.11913271316342056
GSM363425,0.1576043961617296
GSM363426,0.042963831335764535
GSM363427,0.10239950219261296
GSM363428,0.008046872268607341
GSM363429,0.13532784078090976
GSM363430,0.03720814477559953
GSM363431,0.15487812044029958
GSM363432,0.05795874763739062
GSM363433,0.13481362562114385
GSM363434,0.0055405480603312185
GSM363435,0.13845887967573522
GSM363436,0.027619260990378813
GSM363437,0.11637335145498617
GSM363438,0.05823914438384459
GSM363439,0.1401832344354006
GSM363440,0.07128004177548186
GSM363441,0.13413460486116124
GSM363442,0.028164101210937598
GSM363443,0.1257257540535991
GSM363444,0.046536348511626136
GSM363445,0.09218145301954861
GSM363446,0.049580399181037516
GSM363447,0.15272687405363516
GSM363448,0.08303824342018362
GSM363449,0.11933544965557785
GSM363450,0.09043086820298196
GSM363451,0.09097822650772869
GSM712532,0.05163050743168929
GSM712533,0.17487262283834903
GSM712534,0.10982081578468217
GSM712535,0.16180068342046727
GSM712536,0.2591848113846651
GSM712537,0.20991772191075397
GSM712538,0.16305800450440722
GSM712539,0.06284849232569845
GSM712540,0.157649198283498
GSM712541,0.1935986452176588
GSM712542,0.03809606247783304
