NAME	Other	Hepatocytes	Proliferation	vSMC	Stellate cells	CAFs	Pericytes
AQP9	1	412.926176387526	1	1	1	1	1
AR	1	111.817475056047	1	1	1	1	1
ARAP1	1	231.506464141678	1	1	1	1	1
ARCN1	1	64.5370301255541	116.631070723389	1	247.747397014209	1	1
AREG	508.689955389738	1	361.508454728538	1	1	1	1
ARF4	1	77.952021481263	1	1	383.715796928794	500.987915398469	1
ARF6	193.975010991716	1	236.799795886962	1	1	1	1
ARG1	1	521.463305157682	1	1	1	1	1
ARGLU1	1	1	187.92959987195	1	1	1	1
ARHGAP1	1	1	1	1	1	1	287.310542663829
ARHGAP11A	1	1	160.185725030005	1	1	1	1
ARHGAP4	1	1	154.92471805256	1	1	1	1
ARHGAP5	1	1	1	310.102469757359	1	1	1
ARHGDIB	761.458808984736	1	1323.75236435252	1	335.196911627492	710.944427291402	1886.9037288769
ARHGEF12	1	69.4814606941048	1	1	189.741399246407	1	415.139655979145
ARHGEF7	1	1	1	379.686000022892	1	1	1
ARID1A	1	1	213.331148144115	1	1	1	1
ARID4B	1	1	210.668881021457	1	1	1	1
ARID5B	1	1	1	611.510358582412	441.822915771454	1	284.045011601895
ARL10	222.061243808945	95.6533787352728	173.13604386876	1	1	1	1
ARL4C	371.365262464217	1	231.798867983742	1	1	1	1
ARL6IP5	277.20985655323	1	253.720149489445	1	260.749343970475	327.909337530794	1
ARPC4	1	1	347.525735746526	1	1	1	1
ARPC5	372.616574215401	91.4604954574736	321.319254789848	1	241.925643583531	280.726574915581	1
ARPC5L	1	1	108.021174170867	1	1	1	1
ASAH1	354.608693086165	1	188.979921414372	291.731441445608	242.860900078017	1	1
ASF1B	1	1	115.570345789782	1	1	1	1
ASGR1	1	280.780285273716	1	1	1	1	1
ASGR2	1	295.926786222468	1	1	1	1	1
ASL	1	102.694830738787	1	1	1	1	1
ASPH	1	1	1	1	217.233982885436	1	1
ASPM	1	1	402.169900757127	1	1	1	1
ASPN	1	1	1	1	1041.2079079347	1155.42156261416	815.424210189295
ASS1	1	521.52419276064	1	1	1	1	1
ATAD2	1	1	205.300655757592	1	1	1	1
ATF5	1	277.721228024814	1	1	1	1	1
ATG3	1	1	121.128029318026	1	1	1	1
ATL3	1	1	158.599137265946	281.861010395508	1	1	1
ATP1A1	497.618478043783	1	222.435576474167	1	1	1	1
ATP1B1	472.523549051223	244.229604847309	388.780649648755	1	1	1	1
ATP1B3	356.597969111545	1	385.113790956318	2069.93506152605	297.888781556051	1	584.567888285627
ATP2A2	1	1	1	375.65849403326	1	1	1
ATP2B4	1	1	1	544.260070493159	1	1	279.213649381905
ATP5F1	212.342417114485	159.037474407332	163.951602070509	1	1	1	358.251919330618
ATP5G1	1	113.965840254962	1	1	1	1	1
ATP6AP2	209.778870554865	1	215.036836963493	1	398.315584136439	1	358.668734716885
ATP6V0B	234.471830197853	110.254962016183	228.946586238259	1	1	1	1
ATP6V0E1	322.418499259608	98.9463741949707	324.512118648312	1	328.057510722314	431.802305423672	1
ATP6V1E1	1	1	1	455.93973787295	1	1	1
ATP6V1F	237.572136284375	1	163.048586758962	1	1	1	1
ATP6V1G2.DDX39B	1	1	293.318987632645	1	1	1	1
ATPIF1	207.952899275316	279.656337679334	441.720781016407	1	1	317.065485294301	1
ATRAID	1	1	161.976163218231	1	169.871694728528	1	1
ATRX	217.156306688947	1	170.467356753023	271.802115571874	286.169827740152	1	1
AURKB	1	1	262.117832013468	1	1	1	1
AVL9	1	181.470803230123	289.860570956717	1	1	1	1
AXL	1	1	1	359.382982728241	1	343.231934081198	326.882492115187
AZGP1	1	933.523886067735	1	1	1	1	1
B4GALT1	1	75.1387597794469	1	1	206.755139874551	1	1
BAAT	1	834.933753559826	1	1	1	1	1
BAG3	1	1	1	422.604309142663	1	1	1
BANF1	1	1	117.493007229097	1	1	1	1
BASP1	308.868460537102	1	1	1	1	1	1
BBX	1	1	1	1	234.985492910081	1	1
BCAM	1	1	1	311.032298608431	1	1	1
BCAP31	288.666112805167	81.4492580644322	241.270662528162	1	1	1	347.488841711743
BCHE	1	198.82196908478	1	1	1	1	1
BCL2A1	1	1	300.304278083283	1	1	1	1
BCL2L2.PABPN1	288.954157871725	112.295287451961	285.482048967174	441.499628725944	1	1	1
BEX3	1	65.3629261973469	1	317.217966331293	287.298497882674	452.809060289477	375.230800828565
BGN	1	1	1	2569.34079819605	8149.99250781362	9114.86196643942	8110.70485754387
BHLHE40	1	1	1	348.92216275935	1	1	1
BHMT	1	535.65609385966	1	1	1	1	1
BHMT2	1	126.707702352329	1	1	1	1	1
BICC1	1	1	1	1	156.736508773226	1	1
BIRC3	1	1	240.837560437336	1	1	1	1
BIRC5	1	1	176.746261709982	1	1	1	1
BLVRB	1	182.491585975487	1	1	1	1	1
BMPR2	1	1	1	1	188.683218754136	349.301559700245	1
BNIP3	1	163.177624307597	1	1	1	1	1
BNIP3L	1	1	1	1	312.5178465593	1	1
BPTF	249.056008928956	1	1	1	242.510010436717	1	1
BRD2	1	1	143.480294215052	1	1	1	452.251755288459
BRD7	1	1	132.499837307293	1	1	1	1
BRI3	417.389507186887	160.289910906036	144.611372932385	1	219.19541337787	239.747459123855	1
BRI3BP	1	1	135.278502687064	1	1	1	1
BRK1	231.066170784338	125.490434939754	121.180619031861	1	255.97827210695	470.39098389647	1
BSG	1	1	108.694958077305	1	383.33925576654	362.111689408653	467.984075965505
BST2	310.269954308921	59.3611629889016	136.528141231742	1	213.109091604093	323.571607374639	1
BTG2	318.83552302174	1	255.839740063049	1108.51598016281	338.269917650822	1	1
BUB3	1	1	348.770207336699	1	1	1	1
BX248415.1	1	2043.99752661797	1	1	773.562822656398	1	1
BZW1	1	125.223604253524	102.033328444768	1	272.186715573969	1	1
C10orf10	1	131.817874002122	1	400.811773950385	1172.95317482979	490.468956985596	1
C11orf54	1	188.996052654318	1	1	1	1	1
C11orf58	1	84.1454496969677	104.917163587153	1	261.281210387797	295.598025903265	1
C12orf57	1	79.1259843174018	147.810811715842	542.855144551845	744.212747494154	736.86591110317	1108.64444327827
C12orf75	1	1	128.167586699625	290.309929831746	1	1	1
C1QA	1672.82481511913	1	340.948648087499	1	1	1	1
C1QB	2199.99030710066	1	474.752842591242	1	1	1	1
C1QC	574.579954784085	1	1	1	1	1	1
C1QTNF1	1	1	1	1033.56060103964	837.420258795949	1	675.886665474236
C1QTNF5	1	1	1	1	190.825225538469	1	1
