NAME	LVECt	Other	LSEC	Hepatocytes	LVEC	Carcinoma
BNIP3	1	1	1	187.111528371783	1	1
BNIP3L	1	1	252.398366220334	1	260.848793794696	1
BOLA2B	1	1	1	1	1	181.565857730306
BPHL	1	1	1	102.532332959674	1	1
BPTF	194.950154983139	1	316.222087965748	1	270.946883393297	271.239949000925
BRD2	268.053660864853	1	1	1	1	179.943226348351
BRD4	1	1	1	1	1	144.035561238211
BSG	211.038598617092	1	1	1	1	229.186754575589
BST2	303.725700108382	281.266034824171	772.710420091662	59.6573649427951	440.794839245009	1
BTG2	316.644746282984	430.402170433089	1	1	274.451939205376	1
BX248415.1	1	1	1	2068.13999053944	1	1
BZW1	223.240022072738	1	1	136.631143456948	1	205.150869494076
C10orf10	890.86590698623	1	1	119.335750634061	305.948960080394	1
C11orf58	350.439677349736	1	1	88.5152565616542	279.779480730178	178.167014019156
C12orf57	318.739478225053	1	1	87.673084834334	1	218.085774740066
C12orf75	1	1	1	1	1	327.052149175128
C14orf2	211.353487159224	257.851487781437	1	179.64220428044	1	291.829616619553
C15orf48	1	1	1	1	1	274.843380294671
C18orf32	1	1	1	66.8803827968325	1	162.669727656958
C19orf53	218.767970906031	1	1	104.696963463626	1	202.748753838464
C1QA	1	2319.41118024425	1	1	1	1
C1QB	1	3066.97618694907	1	1	1	1
C1QC	1	773.779504643272	1	1	1	1
C1QTNF1	1	1	622.082305545923	1	401.267716433468	1
C1QTNF5	214.028026964301	1	1	1	1	1
C1R	1	425.201873204037	1	1018.21912937975	1	1
C1RL	1	1	1	113.697985662639	1	1
C1S	1	1	1	1222.38908825989	1	1
C1orf162	1	549.369264340364	1	1	1	1
C1orf21	1	1	303.735078997864	1	1	1
C2	1	1	1	260.632517543894	1	1
C3	1	766.581513756702	1	4644.93090214533	1	1476.99765628815
C4A	1	1	1	206.523246439005	1	1
C4B	1	1	1	1172.96937917487	1	214.915417055494
C4BPA	1	1	1	665.052769662649	1	1
C4BPB	1	1	1	276.189906197211	1	1
C5	1	1	1	241.881072238232	1	1
C5AR1	1	422.971716873213	1	1	1	1
C6	1	1	1	333.149536546701	1	1
C6orf48	170.451035404744	244.927508692206	1	1	1	187.198835138812
C6orf62	1	234.289471117894	1	1	1	203.187423505463
C7	1	1	377.033868981773	1	1159.09032928107	1
C8A	1	1	1	255.456320633004	1	1
C8B	1	1	1	330.817131151399	1	1
C8G	1	1	1	145.002814908559	1	1
C8orf59	1	1	1	1	1	187.607866608444
C9	283.813296119163	290.800669627018	1137.14932428618	744.850446935466	252.962587545166	1
CA2	1	1	1	118.060649665843	1	234.971873367552
CACYBP	1	1	1	1	1	175.507918997512
CALCOCO2	202.600023829463	1	363.47957754932	67.455348944534	312.988216506153	1
CALCRL	812.663268866366	1	1	1	452.876822567534	1
CALD1	446.850114008257	783.482390448795	1	272.347771924382	251.133469828313	172.088122640146
CALU	323.422861905339	1	464.758958248985	1	1	1
CAMK2N1	1	1	1	100.274499597578	1	280.770554125716
