NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
ARID1A	1	1	1	1	1	1	94.7021881538183	1
ARID5B	1	1	1	1	1	1	1	230.351184614753
ARL10	212.731371848248	1	190.182021105844	230.980371930526	1	272.127675530717	417.438936655243	1
ARL4C	233.779134619667	657.378397907599	1	405.242317677647	476.594565865546	311.158489091924	232.274887012418	1
ARL6IP5	217.369486820123	249.116217750609	362.564786998915	358.550220938538	515.585094518823	295.804716549999	299.634550535391	1
ARPC4	1	236.109310876743	242.121017657603	234.441566448264	1	205.542847953798	94.0363659355489	1
ARRB2	1	310.372708495907	442.266723183933	346.905754211404	1	278.370732463298	1	1
ASAH1	1	571.299574849862	389.582166655027	739.952392361458	1	208.149201857761	1	1
ASAP1	1	1	1	1	1	1	397.68727430149	1
ATF3	331.836392130904	1	428.457468717332	608.855307169684	1	565.61988167576	1	287.03579715766
ATG3	1	1	1	1	1	1	309.869846658007	1
ATOX1	1	1	1	1	1	135.491768789014	138.608243645087	223.058219008056
ATP1B1	522.676227234822	447.244141254889	1	1	1	1	1	1
ATP1B3	308.156220733337	1	902.390443990051	531.172398090156	338.427805924578	676.043806902403	336.05724530688	1
ATP2A3	1	1	1	1	1	1	1	1429.47028574313
ATP2B1	1	356.141167916775	397.725682394818	1	1	240.937986589745	126.028215051951	1
ATP5C1	369.889414528025	1	1	236.466719168979	1	266.524855393153	120.288277134355	1
ATP5D	224.290663109275	1	1	1	1	1	1	1
ATP5F1	213.057299091867	1	1	225.07014420287	1	1	223.389182986033	1
ATP5I	393.231638529215	1	1	257.549394990088	1	212.893929044764	160.541306691001	553.856496050562
ATP5J	381.653827844784	1	1	270.247489185401	1	193.472592945639	184.835466888581	338.20683729801
ATP6AP1	1	267.713499362647	1	297.804558499855	1	185.001563015896	1	1
ATP6AP2	209.873328050589	1	1	353.249804577666	1	1	1	1
ATP6V0B	1	254.238732553164	297.759329579612	346.057541623388	1	226.065230402946	181.496519054605	1
ATP6V1B2	1	250.468388309164	279.000131502319	443.357895005781	1	224.950546370971	1	1
ATP6V1F	1	246.38635152824	359.751468850371	464.495275024075	1	219.992071026241	411.367336548633	1
ATP6V1G1	254.590662212288	237.582941314615	1	231.689236137528	1	1	135.481391255178	250.580006252373
ATPIF1	280.628757976176	1	1	1	1	1	1	247.070133440991
ATRAID	1	1	1	1	1	1	1	197.033192337064
ATRX	264.58860674345	1	1	1	1	1	227.967641086362	1
AUP1	1	1	1	1	1	1	1	212.600901848139
AVL9	1	347.628462845504	1	1	1	1	318.790724994491	1775.08512272688
AXL	1	761.034627093861	1	264.935962674433	1	262.615614041811	1	1
B4GALT1	1	247.374714711218	1	218.93491237609	1	1	1	1
BASP1	1	829.653803469602	652.943409592971	401.888856302138	1	469.412751319348	944.794208780527	235.229193829933
BATF3	1	1	1	1	1	1	168.652520433651	1
BAZ1A	1	203.662144809613	1	1	1	1	143.685230638571	1
